2	91	CASES	CASES
71	72	J. Parallel Distrib. Comput.	J. Parallel Distrib. Comput.
71	94	J. Parallel Distrib. Comput.	J. Parallel Distrib. Comput.
72	94	J. Parallel Distrib. Comput.	J. Parallel Distrib. Comput.
73	74	Real-Time Systems	Real-Time Systems
73	75	Real-Time Systems	Real-Time Systems
73	76	Real-Time Systems	Real-Time Systems
74	75	Real-Time Systems	Real-Time Systems
74	76	Real-Time Systems	Real-Time Systems
75	76	Real-Time Systems	Real-Time Systems
79	80	TACO	TACO
82	83	ACM Trans. Embedded Comput. Syst.	ACM Trans. Embedded Comput. Syst.
82	84	ACM Trans. Embedded Comput. Syst.	ACM Trans. Embedded Comput. Syst.
82	85	ACM Trans. Embedded Comput. Syst.	ACM Trans. Embedded Comput. Syst.
83	84	ACM Trans. Embedded Comput. Syst.	ACM Trans. Embedded Comput. Syst.
83	85	ACM Trans. Embedded Comput. Syst.	ACM Trans. Embedded Comput. Syst.
84	85	ACM Trans. Embedded Comput. Syst.	ACM Trans. Embedded Comput. Syst.
86	87	ACM Trans. Program. Lang. Syst.	ACM Trans. Program. Lang. Syst.
