0	129	ACIS-ICIS	ACIS-ICIS
78	79	WAIM	APWeb/WAIM
78	80	WAIM	WAIM
78	81	WAIM	APWeb/WAIM
79	80	APWeb/WAIM	WAIM
79	81	APWeb/WAIM	APWeb/WAIM
80	81	WAIM	APWeb/WAIM
82	83	Web Intelligence	Web Intelligence
84	85	WISE	WISE (2)
94	95	ICYCS	ICYCS
96	97	ICARCV	ICARCV
96	98	ICARCV	ICARCV
97	98	ICARCV	ICARCV
114	115	ACM Trans. Design Autom. Electr. Syst.	ACM Trans. Design Autom. Electr. Syst.
116	117	IEEE Trans. Parallel Distrib. Syst.	IEEE Trans. Parallel Distrib. Syst.
116	118	IEEE Trans. Parallel Distrib. Syst.	IEEE Trans. Parallel Distrib. Syst.
117	118	IEEE Trans. Parallel Distrib. Syst.	IEEE Trans. Parallel Distrib. Syst.
124	125	CSCWD	CSCWD
124	132	CSCWD	CSCWD
124	133	CSCWD	CSCWD
125	132	CSCWD	CSCWD
125	133	CSCWD	CSCWD
132	133	CSCWD	CSCWD
135	136	IJCAI	IJCAI
165	166	Proceedings of the 2009 International Conference on Computer Engineering and Technology - Volume 02	Proceedings of the 2009 International Conference on Computer Engineering and Technology - Volume 02
