0	1	The Benchmark Handbook	The Benchmark Handbook
37	50	SIGMOD Conference	SIGMOD Conference
37	51	SIGMOD Conference	SIGMOD Conference
37	52	SIGMOD Conference	SIGMOD Conference
38	39	SIGMOD Conference	SIGMOD Conference
38	40	SIGMOD Conference	SIGMOD Conference
38	41	SIGMOD Conference	SIGMOD Conference
38	42	SIGMOD Conference	SIGMOD Conference
38	43	SIGMOD Conference	SIGMOD Conference
38	44	SIGMOD Conference	SIGMOD Conference
38	45	SIGMOD Conference	SIGMOD Conference
38	46	SIGMOD Conference	SIGMOD Conference
38	47	SIGMOD Conference	SIGMOD Conference
38	48	SIGMOD Conference	SIGMOD Conference
38	49	SIGMOD Conference	SIGMOD Conference
38	50	SIGMOD Conference	SIGMOD Conference
38	51	SIGMOD Conference	SIGMOD Conference
38	52	SIGMOD Conference	SIGMOD Conference
39	40	SIGMOD Conference	SIGMOD Conference
39	41	SIGMOD Conference	SIGMOD Conference
39	42	SIGMOD Conference	SIGMOD Conference
39	43	SIGMOD Conference	SIGMOD Conference
39	44	SIGMOD Conference	SIGMOD Conference
39	45	SIGMOD Conference	SIGMOD Conference
39	46	SIGMOD Conference	SIGMOD Conference
39	47	SIGMOD Conference	SIGMOD Conference
39	48	SIGMOD Conference	SIGMOD Conference
39	49	SIGMOD Conference	SIGMOD Conference
39	50	SIGMOD Conference	SIGMOD Conference
39	51	SIGMOD Conference	SIGMOD Conference
39	52	SIGMOD Conference	SIGMOD Conference
40	41	SIGMOD Conference	SIGMOD Conference
40	42	SIGMOD Conference	SIGMOD Conference
40	43	SIGMOD Conference	SIGMOD Conference
40	44	SIGMOD Conference	SIGMOD Conference
40	45	SIGMOD Conference	SIGMOD Conference
40	46	SIGMOD Conference	SIGMOD Conference
40	47	SIGMOD Conference	SIGMOD Conference
40	48	SIGMOD Conference	SIGMOD Conference
40	49	SIGMOD Conference	SIGMOD Conference
40	50	SIGMOD Conference	SIGMOD Conference
40	51	SIGMOD Conference	SIGMOD Conference
40	52	SIGMOD Conference	SIGMOD Conference
41	42	SIGMOD Conference	SIGMOD Conference
41	43	SIGMOD Conference	SIGMOD Conference
41	44	SIGMOD Conference	SIGMOD Conference
41	45	SIGMOD Conference	SIGMOD Conference
41	46	SIGMOD Conference	SIGMOD Conference
41	47	SIGMOD Conference	SIGMOD Conference
41	48	SIGMOD Conference	SIGMOD Conference
41	49	SIGMOD Conference	SIGMOD Conference
41	50	SIGMOD Conference	SIGMOD Conference
41	51	SIGMOD Conference	SIGMOD Conference
41	52	SIGMOD Conference	SIGMOD Conference
42	43	SIGMOD Conference	SIGMOD Conference
42	44	SIGMOD Conference	SIGMOD Conference
42	45	SIGMOD Conference	SIGMOD Conference
42	46	SIGMOD Conference	SIGMOD Conference
42	47	SIGMOD Conference	SIGMOD Conference
42	48	SIGMOD Conference	SIGMOD Conference
42	49	SIGMOD Conference	SIGMOD Conference
42	50	SIGMOD Conference	SIGMOD Conference
42	51	SIGMOD Conference	SIGMOD Conference
42	52	SIGMOD Conference	SIGMOD Conference
43	44	SIGMOD Conference	SIGMOD Conference
43	45	SIGMOD Conference	SIGMOD Conference
43	46	SIGMOD Conference	SIGMOD Conference
43	47	SIGMOD Conference	SIGMOD Conference
43	48	SIGMOD Conference	SIGMOD Conference
43	49	SIGMOD Conference	SIGMOD Conference
43	50	SIGMOD Conference	SIGMOD Conference
43	51	SIGMOD Conference	SIGMOD Conference
43	52	SIGMOD Conference	SIGMOD Conference
44	45	SIGMOD Conference	SIGMOD Conference
44	46	SIGMOD Conference	SIGMOD Conference
44	47	SIGMOD Conference	SIGMOD Conference
44	48	SIGMOD Conference	SIGMOD Conference
44	49	SIGMOD Conference	SIGMOD Conference
44	50	SIGMOD Conference	SIGMOD Conference
44	51	SIGMOD Conference	SIGMOD Conference
44	52	SIGMOD Conference	SIGMOD Conference
45	46	SIGMOD Conference	SIGMOD Conference
45	47	SIGMOD Conference	SIGMOD Conference
45	48	SIGMOD Conference	SIGMOD Conference
45	49	SIGMOD Conference	SIGMOD Conference
45	50	SIGMOD Conference	SIGMOD Conference
45	51	SIGMOD Conference	SIGMOD Conference
45	52	SIGMOD Conference	SIGMOD Conference
46	47	SIGMOD Conference	SIGMOD Conference
46	48	SIGMOD Conference	SIGMOD Conference
46	49	SIGMOD Conference	SIGMOD Conference
46	50	SIGMOD Conference	SIGMOD Conference
46	51	SIGMOD Conference	SIGMOD Conference
46	52	SIGMOD Conference	SIGMOD Conference
47	48	SIGMOD Conference	SIGMOD Conference
47	49	SIGMOD Conference	SIGMOD Conference
47	50	SIGMOD Conference	SIGMOD Conference
47	51	SIGMOD Conference	SIGMOD Conference
47	52	SIGMOD Conference	SIGMOD Conference
48	49	SIGMOD Conference	SIGMOD Conference
48	50	SIGMOD Conference	SIGMOD Conference
48	51	SIGMOD Conference	SIGMOD Conference
48	52	SIGMOD Conference	SIGMOD Conference
49	50	SIGMOD Conference	SIGMOD Conference
49	51	SIGMOD Conference	SIGMOD Conference
49	52	SIGMOD Conference	SIGMOD Conference
50	51	SIGMOD Conference	SIGMOD Conference
50	52	SIGMOD Conference	SIGMOD Conference
51	52	SIGMOD Conference	SIGMOD Conference
55	56	VLDB	VLDB
55	57	VLDB	VLDB
55	58	VLDB	VLDB
55	59	VLDB	VLDB
55	60	VLDB	VLDB
55	61	VLDB	VLDB
55	160	VLDB	VLDB J.
56	57	VLDB	VLDB
56	58	VLDB	VLDB
56	59	VLDB	VLDB
56	60	VLDB	VLDB
56	61	VLDB	VLDB
56	160	VLDB	VLDB J.
57	58	VLDB	VLDB
57	59	VLDB	VLDB
57	60	VLDB	VLDB
57	61	VLDB	VLDB
57	160	VLDB	VLDB J.
58	59	VLDB	VLDB
58	60	VLDB	VLDB
58	61	VLDB	VLDB
58	160	VLDB	VLDB J.
59	60	VLDB	VLDB
59	61	VLDB	VLDB
59	160	VLDB	VLDB J.
60	61	VLDB	VLDB
60	160	VLDB	VLDB J.
61	160	VLDB	VLDB J.
64	65	Commun. ACM	Commun. ACM
64	66	Commun. ACM	Commun. ACM
64	67	Commun. ACM	Commun. ACM
64	68	Commun. ACM	Commun. ACM
64	69	Commun. ACM	Commun. ACM
64	70	Commun. ACM	Commun. ACM
65	66	Commun. ACM	Commun. ACM
65	67	Commun. ACM	Commun. ACM
65	68	Commun. ACM	Commun. ACM
65	69	Commun. ACM	Commun. ACM
65	70	Commun. ACM	Commun. ACM
66	67	Commun. ACM	Commun. ACM
66	68	Commun. ACM	Commun. ACM
66	69	Commun. ACM	Commun. ACM
66	70	Commun. ACM	Commun. ACM
67	68	Commun. ACM	Commun. ACM
67	69	Commun. ACM	Commun. ACM
67	70	Commun. ACM	Commun. ACM
68	69	Commun. ACM	Commun. ACM
68	70	Commun. ACM	Commun. ACM
69	70	Commun. ACM	Commun. ACM
71	72	IEEE Computer	IEEE Computer
71	73	IEEE Computer	IEEE Computer
71	74	IEEE Computer	IEEE Computer
72	73	IEEE Computer	IEEE Computer
72	74	IEEE Computer	IEEE Computer
73	74	IEEE Computer	IEEE Computer
75	76	CoRR	CoRR
75	77	CoRR	CoRR
75	78	CoRR	CoRR
75	79	CoRR	CoRR
75	80	CoRR	CoRR
75	81	CoRR	CoRR
75	82	CoRR	CoRR
75	83	CoRR	CoRR
75	84	CoRR	CoRR
75	85	CoRR	CoRR
75	86	CoRR	CoRR
75	87	CoRR	CoRR
75	88	CoRR	CoRR
75	89	CoRR	CoRR
75	90	CoRR	CoRR
75	91	CoRR	CoRR
75	92	CoRR	CoRR
75	93	CoRR	CoRR
75	94	CoRR	CoRR
75	95	CoRR	CoRR
75	96	CoRR	CoRR
75	97	CoRR	CoRR
75	98	CoRR	CoRR
75	99	CoRR	CoRR
75	100	CoRR	CoRR
75	101	CoRR	CoRR
75	102	CoRR	CoRR
75	103	CoRR	CoRR
75	104	CoRR	CoRR
75	105	CoRR	CoRR
75	106	CoRR	CoRR
75	107	CoRR	CoRR
75	108	CoRR	CoRR
75	109	CoRR	CoRR
75	110	CoRR	CoRR
75	111	CoRR	CoRR
75	112	CoRR	CoRR
75	113	CoRR	CoRR
75	114	CoRR	CoRR
75	115	CoRR	CoRR
75	116	CoRR	CoRR
75	117	CoRR	CoRR
75	118	CoRR	CoRR
75	119	CoRR	CoRR
75	120	CoRR	CoRR
75	121	CoRR	CoRR
75	122	CoRR	CoRR
75	123	CoRR	CoRR
75	124	CoRR	CoRR
75	125	CoRR	CoRR
75	126	CoRR	CoRR
75	127	CoRR	CoRR
75	128	CoRR	CoRR
76	77	CoRR	CoRR
76	78	CoRR	CoRR
76	79	CoRR	CoRR
76	80	CoRR	CoRR
76	81	CoRR	CoRR
76	82	CoRR	CoRR
76	83	CoRR	CoRR
76	84	CoRR	CoRR
76	85	CoRR	CoRR
76	86	CoRR	CoRR
76	87	CoRR	CoRR
76	88	CoRR	CoRR
76	89	CoRR	CoRR
76	90	CoRR	CoRR
76	91	CoRR	CoRR
76	92	CoRR	CoRR
76	93	CoRR	CoRR
76	94	CoRR	CoRR
76	95	CoRR	CoRR
76	96	CoRR	CoRR
76	97	CoRR	CoRR
76	98	CoRR	CoRR
76	99	CoRR	CoRR
76	100	CoRR	CoRR
76	101	CoRR	CoRR
76	102	CoRR	CoRR
76	103	CoRR	CoRR
76	104	CoRR	CoRR
76	105	CoRR	CoRR
76	106	CoRR	CoRR
76	107	CoRR	CoRR
76	108	CoRR	CoRR
76	109	CoRR	CoRR
76	110	CoRR	CoRR
76	111	CoRR	CoRR
76	112	CoRR	CoRR
76	113	CoRR	CoRR
76	114	CoRR	CoRR
76	115	CoRR	CoRR
76	116	CoRR	CoRR
76	117	CoRR	CoRR
76	118	CoRR	CoRR
76	119	CoRR	CoRR
76	120	CoRR	CoRR
76	121	CoRR	CoRR
76	122	CoRR	CoRR
76	123	CoRR	CoRR
76	124	CoRR	CoRR
76	125	CoRR	CoRR
76	126	CoRR	CoRR
76	127	CoRR	CoRR
76	128	CoRR	CoRR
77	78	CoRR	CoRR
77	79	CoRR	CoRR
77	80	CoRR	CoRR
77	81	CoRR	CoRR
77	82	CoRR	CoRR
77	83	CoRR	CoRR
77	84	CoRR	CoRR
77	85	CoRR	CoRR
77	86	CoRR	CoRR
77	87	CoRR	CoRR
77	88	CoRR	CoRR
77	89	CoRR	CoRR
77	90	CoRR	CoRR
77	91	CoRR	CoRR
77	92	CoRR	CoRR
77	93	CoRR	CoRR
77	94	CoRR	CoRR
77	95	CoRR	CoRR
77	96	CoRR	CoRR
77	97	CoRR	CoRR
77	98	CoRR	CoRR
77	99	CoRR	CoRR
77	100	CoRR	CoRR
77	101	CoRR	CoRR
77	102	CoRR	CoRR
77	103	CoRR	CoRR
77	104	CoRR	CoRR
77	105	CoRR	CoRR
77	106	CoRR	CoRR
77	107	CoRR	CoRR
77	108	CoRR	CoRR
77	109	CoRR	CoRR
77	110	CoRR	CoRR
77	111	CoRR	CoRR
77	112	CoRR	CoRR
77	113	CoRR	CoRR
77	114	CoRR	CoRR
77	115	CoRR	CoRR
77	116	CoRR	CoRR
77	117	CoRR	CoRR
77	118	CoRR	CoRR
77	119	CoRR	CoRR
77	120	CoRR	CoRR
77	121	CoRR	CoRR
77	122	CoRR	CoRR
77	123	CoRR	CoRR
77	124	CoRR	CoRR
77	125	CoRR	CoRR
77	126	CoRR	CoRR
77	127	CoRR	CoRR
77	128	CoRR	CoRR
78	79	CoRR	CoRR
78	80	CoRR	CoRR
78	81	CoRR	CoRR
78	82	CoRR	CoRR
78	83	CoRR	CoRR
78	84	CoRR	CoRR
78	85	CoRR	CoRR
78	86	CoRR	CoRR
78	87	CoRR	CoRR
78	88	CoRR	CoRR
78	89	CoRR	CoRR
78	90	CoRR	CoRR
78	91	CoRR	CoRR
78	92	CoRR	CoRR
78	93	CoRR	CoRR
78	94	CoRR	CoRR
78	95	CoRR	CoRR
78	96	CoRR	CoRR
78	97	CoRR	CoRR
78	98	CoRR	CoRR
78	99	CoRR	CoRR
78	100	CoRR	CoRR
78	101	CoRR	CoRR
78	102	CoRR	CoRR
78	103	CoRR	CoRR
78	104	CoRR	CoRR
78	105	CoRR	CoRR
78	106	CoRR	CoRR
78	107	CoRR	CoRR
78	108	CoRR	CoRR
78	109	CoRR	CoRR
78	110	CoRR	CoRR
78	111	CoRR	CoRR
78	112	CoRR	CoRR
78	113	CoRR	CoRR
78	114	CoRR	CoRR
78	115	CoRR	CoRR
78	116	CoRR	CoRR
78	117	CoRR	CoRR
78	118	CoRR	CoRR
78	119	CoRR	CoRR
78	120	CoRR	CoRR
78	121	CoRR	CoRR
78	122	CoRR	CoRR
78	123	CoRR	CoRR
78	124	CoRR	CoRR
78	125	CoRR	CoRR
78	126	CoRR	CoRR
78	127	CoRR	CoRR
78	128	CoRR	CoRR
79	80	CoRR	CoRR
79	81	CoRR	CoRR
79	82	CoRR	CoRR
79	83	CoRR	CoRR
79	84	CoRR	CoRR
79	85	CoRR	CoRR
79	86	CoRR	CoRR
79	87	CoRR	CoRR
79	88	CoRR	CoRR
79	89	CoRR	CoRR
79	90	CoRR	CoRR
79	91	CoRR	CoRR
79	92	CoRR	CoRR
79	93	CoRR	CoRR
79	94	CoRR	CoRR
79	95	CoRR	CoRR
79	96	CoRR	CoRR
79	97	CoRR	CoRR
79	98	CoRR	CoRR
79	99	CoRR	CoRR
79	100	CoRR	CoRR
79	101	CoRR	CoRR
79	102	CoRR	CoRR
79	103	CoRR	CoRR
79	104	CoRR	CoRR
79	105	CoRR	CoRR
79	106	CoRR	CoRR
79	107	CoRR	CoRR
79	108	CoRR	CoRR
79	109	CoRR	CoRR
79	110	CoRR	CoRR
79	111	CoRR	CoRR
79	112	CoRR	CoRR
79	113	CoRR	CoRR
79	114	CoRR	CoRR
79	115	CoRR	CoRR
79	116	CoRR	CoRR
79	117	CoRR	CoRR
79	118	CoRR	CoRR
79	119	CoRR	CoRR
79	120	CoRR	CoRR
79	121	CoRR	CoRR
79	122	CoRR	CoRR
79	123	CoRR	CoRR
79	124	CoRR	CoRR
79	125	CoRR	CoRR
79	126	CoRR	CoRR
79	127	CoRR	CoRR
79	128	CoRR	CoRR
80	81	CoRR	CoRR
80	82	CoRR	CoRR
80	83	CoRR	CoRR
80	84	CoRR	CoRR
80	85	CoRR	CoRR
80	86	CoRR	CoRR
80	87	CoRR	CoRR
80	88	CoRR	CoRR
80	89	CoRR	CoRR
80	90	CoRR	CoRR
80	91	CoRR	CoRR
80	92	CoRR	CoRR
80	93	CoRR	CoRR
80	94	CoRR	CoRR
80	95	CoRR	CoRR
80	96	CoRR	CoRR
80	97	CoRR	CoRR
80	98	CoRR	CoRR
80	99	CoRR	CoRR
80	100	CoRR	CoRR
80	101	CoRR	CoRR
80	102	CoRR	CoRR
80	103	CoRR	CoRR
80	104	CoRR	CoRR
80	105	CoRR	CoRR
80	106	CoRR	CoRR
80	107	CoRR	CoRR
80	108	CoRR	CoRR
80	109	CoRR	CoRR
80	110	CoRR	CoRR
80	111	CoRR	CoRR
80	112	CoRR	CoRR
80	113	CoRR	CoRR
80	114	CoRR	CoRR
80	115	CoRR	CoRR
80	116	CoRR	CoRR
80	117	CoRR	CoRR
80	118	CoRR	CoRR
80	119	CoRR	CoRR
80	120	CoRR	CoRR
80	121	CoRR	CoRR
80	122	CoRR	CoRR
80	123	CoRR	CoRR
80	124	CoRR	CoRR
80	125	CoRR	CoRR
80	126	CoRR	CoRR
80	127	CoRR	CoRR
80	128	CoRR	CoRR
81	82	CoRR	CoRR
81	83	CoRR	CoRR
81	84	CoRR	CoRR
81	85	CoRR	CoRR
81	86	CoRR	CoRR
81	87	CoRR	CoRR
81	88	CoRR	CoRR
81	89	CoRR	CoRR
81	90	CoRR	CoRR
81	91	CoRR	CoRR
81	92	CoRR	CoRR
81	93	CoRR	CoRR
81	94	CoRR	CoRR
81	95	CoRR	CoRR
81	96	CoRR	CoRR
81	97	CoRR	CoRR
81	98	CoRR	CoRR
81	99	CoRR	CoRR
81	100	CoRR	CoRR
81	101	CoRR	CoRR
81	102	CoRR	CoRR
81	103	CoRR	CoRR
81	104	CoRR	CoRR
81	105	CoRR	CoRR
81	106	CoRR	CoRR
81	107	CoRR	CoRR
81	108	CoRR	CoRR
81	109	CoRR	CoRR
81	110	CoRR	CoRR
81	111	CoRR	CoRR
81	112	CoRR	CoRR
81	113	CoRR	CoRR
81	114	CoRR	CoRR
81	115	CoRR	CoRR
81	116	CoRR	CoRR
81	117	CoRR	CoRR
81	118	CoRR	CoRR
81	119	CoRR	CoRR
81	120	CoRR	CoRR
81	121	CoRR	CoRR
81	122	CoRR	CoRR
81	123	CoRR	CoRR
81	124	CoRR	CoRR
81	125	CoRR	CoRR
81	126	CoRR	CoRR
81	127	CoRR	CoRR
81	128	CoRR	CoRR
82	83	CoRR	CoRR
82	84	CoRR	CoRR
82	85	CoRR	CoRR
82	86	CoRR	CoRR
82	87	CoRR	CoRR
82	88	CoRR	CoRR
82	89	CoRR	CoRR
82	90	CoRR	CoRR
82	91	CoRR	CoRR
82	92	CoRR	CoRR
82	93	CoRR	CoRR
82	94	CoRR	CoRR
82	95	CoRR	CoRR
82	96	CoRR	CoRR
82	97	CoRR	CoRR
82	98	CoRR	CoRR
82	99	CoRR	CoRR
82	100	CoRR	CoRR
82	101	CoRR	CoRR
82	102	CoRR	CoRR
82	103	CoRR	CoRR
82	104	CoRR	CoRR
82	105	CoRR	CoRR
82	106	CoRR	CoRR
82	107	CoRR	CoRR
82	108	CoRR	CoRR
82	109	CoRR	CoRR
82	110	CoRR	CoRR
82	111	CoRR	CoRR
82	112	CoRR	CoRR
82	113	CoRR	CoRR
82	114	CoRR	CoRR
82	115	CoRR	CoRR
82	116	CoRR	CoRR
82	117	CoRR	CoRR
82	118	CoRR	CoRR
82	119	CoRR	CoRR
82	120	CoRR	CoRR
82	121	CoRR	CoRR
82	122	CoRR	CoRR
82	123	CoRR	CoRR
82	124	CoRR	CoRR
82	125	CoRR	CoRR
82	126	CoRR	CoRR
82	127	CoRR	CoRR
82	128	CoRR	CoRR
83	84	CoRR	CoRR
83	85	CoRR	CoRR
83	86	CoRR	CoRR
83	87	CoRR	CoRR
83	88	CoRR	CoRR
83	89	CoRR	CoRR
83	90	CoRR	CoRR
83	91	CoRR	CoRR
83	92	CoRR	CoRR
83	93	CoRR	CoRR
83	94	CoRR	CoRR
83	95	CoRR	CoRR
83	96	CoRR	CoRR
83	97	CoRR	CoRR
83	98	CoRR	CoRR
83	99	CoRR	CoRR
83	100	CoRR	CoRR
83	101	CoRR	CoRR
83	102	CoRR	CoRR
83	103	CoRR	CoRR
83	104	CoRR	CoRR
83	105	CoRR	CoRR
83	106	CoRR	CoRR
83	107	CoRR	CoRR
83	108	CoRR	CoRR
83	109	CoRR	CoRR
83	110	CoRR	CoRR
83	111	CoRR	CoRR
83	112	CoRR	CoRR
83	113	CoRR	CoRR
83	114	CoRR	CoRR
83	115	CoRR	CoRR
83	116	CoRR	CoRR
83	117	CoRR	CoRR
83	118	CoRR	CoRR
83	119	CoRR	CoRR
83	120	CoRR	CoRR
83	121	CoRR	CoRR
83	122	CoRR	CoRR
83	123	CoRR	CoRR
83	124	CoRR	CoRR
83	125	CoRR	CoRR
83	126	CoRR	CoRR
83	127	CoRR	CoRR
83	128	CoRR	CoRR
84	85	CoRR	CoRR
84	86	CoRR	CoRR
84	87	CoRR	CoRR
84	88	CoRR	CoRR
84	89	CoRR	CoRR
84	90	CoRR	CoRR
84	91	CoRR	CoRR
84	92	CoRR	CoRR
84	93	CoRR	CoRR
84	94	CoRR	CoRR
84	95	CoRR	CoRR
84	96	CoRR	CoRR
84	97	CoRR	CoRR
84	98	CoRR	CoRR
84	99	CoRR	CoRR
84	100	CoRR	CoRR
84	101	CoRR	CoRR
84	102	CoRR	CoRR
84	103	CoRR	CoRR
84	104	CoRR	CoRR
84	105	CoRR	CoRR
84	106	CoRR	CoRR
84	107	CoRR	CoRR
84	108	CoRR	CoRR
84	109	CoRR	CoRR
84	110	CoRR	CoRR
84	111	CoRR	CoRR
84	112	CoRR	CoRR
84	113	CoRR	CoRR
84	114	CoRR	CoRR
84	115	CoRR	CoRR
84	116	CoRR	CoRR
84	117	CoRR	CoRR
84	118	CoRR	CoRR
84	119	CoRR	CoRR
84	120	CoRR	CoRR
84	121	CoRR	CoRR
84	122	CoRR	CoRR
84	123	CoRR	CoRR
84	124	CoRR	CoRR
84	125	CoRR	CoRR
84	126	CoRR	CoRR
84	127	CoRR	CoRR
84	128	CoRR	CoRR
85	86	CoRR	CoRR
85	87	CoRR	CoRR
85	88	CoRR	CoRR
85	89	CoRR	CoRR
85	90	CoRR	CoRR
85	91	CoRR	CoRR
85	92	CoRR	CoRR
85	93	CoRR	CoRR
85	94	CoRR	CoRR
85	95	CoRR	CoRR
85	96	CoRR	CoRR
85	97	CoRR	CoRR
85	98	CoRR	CoRR
85	99	CoRR	CoRR
85	100	CoRR	CoRR
85	101	CoRR	CoRR
85	102	CoRR	CoRR
85	103	CoRR	CoRR
85	104	CoRR	CoRR
85	105	CoRR	CoRR
85	106	CoRR	CoRR
85	107	CoRR	CoRR
85	108	CoRR	CoRR
85	109	CoRR	CoRR
85	110	CoRR	CoRR
85	111	CoRR	CoRR
85	112	CoRR	CoRR
85	113	CoRR	CoRR
85	114	CoRR	CoRR
85	115	CoRR	CoRR
85	116	CoRR	CoRR
85	117	CoRR	CoRR
85	118	CoRR	CoRR
85	119	CoRR	CoRR
85	120	CoRR	CoRR
85	121	CoRR	CoRR
85	122	CoRR	CoRR
85	123	CoRR	CoRR
85	124	CoRR	CoRR
85	125	CoRR	CoRR
85	126	CoRR	CoRR
85	127	CoRR	CoRR
85	128	CoRR	CoRR
86	87	CoRR	CoRR
86	88	CoRR	CoRR
86	89	CoRR	CoRR
86	90	CoRR	CoRR
86	91	CoRR	CoRR
86	92	CoRR	CoRR
86	93	CoRR	CoRR
86	94	CoRR	CoRR
86	95	CoRR	CoRR
86	96	CoRR	CoRR
86	97	CoRR	CoRR
86	98	CoRR	CoRR
86	99	CoRR	CoRR
86	100	CoRR	CoRR
86	101	CoRR	CoRR
86	102	CoRR	CoRR
86	103	CoRR	CoRR
86	104	CoRR	CoRR
86	105	CoRR	CoRR
86	106	CoRR	CoRR
86	107	CoRR	CoRR
86	108	CoRR	CoRR
86	109	CoRR	CoRR
86	110	CoRR	CoRR
86	111	CoRR	CoRR
86	112	CoRR	CoRR
86	113	CoRR	CoRR
86	114	CoRR	CoRR
86	115	CoRR	CoRR
86	116	CoRR	CoRR
86	117	CoRR	CoRR
86	118	CoRR	CoRR
86	119	CoRR	CoRR
86	120	CoRR	CoRR
86	121	CoRR	CoRR
86	122	CoRR	CoRR
86	123	CoRR	CoRR
86	124	CoRR	CoRR
86	125	CoRR	CoRR
86	126	CoRR	CoRR
86	127	CoRR	CoRR
86	128	CoRR	CoRR
87	88	CoRR	CoRR
87	89	CoRR	CoRR
87	90	CoRR	CoRR
87	91	CoRR	CoRR
87	92	CoRR	CoRR
87	93	CoRR	CoRR
87	94	CoRR	CoRR
87	95	CoRR	CoRR
87	96	CoRR	CoRR
87	97	CoRR	CoRR
87	98	CoRR	CoRR
87	99	CoRR	CoRR
87	100	CoRR	CoRR
87	101	CoRR	CoRR
87	102	CoRR	CoRR
87	103	CoRR	CoRR
87	104	CoRR	CoRR
87	105	CoRR	CoRR
87	106	CoRR	CoRR
87	107	CoRR	CoRR
87	108	CoRR	CoRR
87	109	CoRR	CoRR
87	110	CoRR	CoRR
87	111	CoRR	CoRR
87	112	CoRR	CoRR
87	113	CoRR	CoRR
87	114	CoRR	CoRR
87	115	CoRR	CoRR
87	116	CoRR	CoRR
87	117	CoRR	CoRR
87	118	CoRR	CoRR
87	119	CoRR	CoRR
87	120	CoRR	CoRR
87	121	CoRR	CoRR
87	122	CoRR	CoRR
87	123	CoRR	CoRR
87	124	CoRR	CoRR
87	125	CoRR	CoRR
87	126	CoRR	CoRR
87	127	CoRR	CoRR
87	128	CoRR	CoRR
88	89	CoRR	CoRR
88	90	CoRR	CoRR
88	91	CoRR	CoRR
88	92	CoRR	CoRR
88	93	CoRR	CoRR
88	94	CoRR	CoRR
88	95	CoRR	CoRR
88	96	CoRR	CoRR
88	97	CoRR	CoRR
88	98	CoRR	CoRR
88	99	CoRR	CoRR
88	100	CoRR	CoRR
88	101	CoRR	CoRR
88	102	CoRR	CoRR
88	103	CoRR	CoRR
88	104	CoRR	CoRR
88	105	CoRR	CoRR
88	106	CoRR	CoRR
88	107	CoRR	CoRR
88	108	CoRR	CoRR
88	109	CoRR	CoRR
88	110	CoRR	CoRR
88	111	CoRR	CoRR
88	112	CoRR	CoRR
88	113	CoRR	CoRR
88	114	CoRR	CoRR
88	115	CoRR	CoRR
88	116	CoRR	CoRR
88	117	CoRR	CoRR
88	118	CoRR	CoRR
88	119	CoRR	CoRR
88	120	CoRR	CoRR
88	121	CoRR	CoRR
88	122	CoRR	CoRR
88	123	CoRR	CoRR
88	124	CoRR	CoRR
88	125	CoRR	CoRR
88	126	CoRR	CoRR
88	127	CoRR	CoRR
88	128	CoRR	CoRR
89	90	CoRR	CoRR
89	91	CoRR	CoRR
89	92	CoRR	CoRR
89	93	CoRR	CoRR
89	94	CoRR	CoRR
89	95	CoRR	CoRR
