4	5	ACII	ACII
35	36	Data Compression Conference	Data Compression Conference
37	38	DCC	DCC
37	439	DCC	DCC
38	439	DCC	DCC
42	43	FGR	FGR
42	44	FGR	FGR
42	46	FGR	FGR
42	47	FGR	FGR
42	48	FGR	FGR
42	49	FGR	FGR
43	44	FGR	FGR
43	46	FGR	FGR
43	47	FGR	FGR
43	48	FGR	FGR
43	49	FGR	FGR
44	46	FGR	FGR
44	47	FGR	FGR
44	48	FGR	FGR
44	49	FGR	FGR
45	50	FG	FG
45	51	FG	FG
45	52	FG	FG
45	53	FG	FG
45	54	FG	FG
45	55	FG	FG
45	56	FG	FG
45	57	FG	FG
46	47	FGR	FGR
46	48	FGR	FGR
46	49	FGR	FGR
47	48	FGR	FGR
47	49	FGR	FGR
48	49	FGR	FGR
50	51	FG	FG
50	52	FG	FG
50	53	FG	FG
50	54	FG	FG
50	55	FG	FG
50	56	FG	FG
50	57	FG	FG
51	52	FG	FG
51	53	FG	FG
51	54	FG	FG
51	55	FG	FG
51	56	FG	FG
51	57	FG	FG
52	53	FG	FG
52	54	FG	FG
52	55	FG	FG
52	56	FG	FG
52	57	FG	FG
53	54	FG	FG
53	55	FG	FG
53	56	FG	FG
53	57	FG	FG
54	55	FG	FG
54	56	FG	FG
54	57	FG	FG
55	56	FG	FG
55	57	FG	FG
56	57	FG	FG
59	60	Gesture Workshop	Gesture Workshop
59	61	Gesture Workshop	Gesture Workshop
59	62	Gesture Workshop	Gesture Workshop
59	63	Gesture Workshop	Gesture Workshop
59	64	Gesture Workshop	Gesture Workshop
59	65	Gesture Workshop	Gesture Workshop
60	61	Gesture Workshop	Gesture Workshop
60	62	Gesture Workshop	Gesture Workshop
60	63	Gesture Workshop	Gesture Workshop
60	64	Gesture Workshop	Gesture Workshop
60	65	Gesture Workshop	Gesture Workshop
61	62	Gesture Workshop	Gesture Workshop
61	63	Gesture Workshop	Gesture Workshop
61	64	Gesture Workshop	Gesture Workshop
61	65	Gesture Workshop	Gesture Workshop
62	63	Gesture Workshop	Gesture Workshop
62	64	Gesture Workshop	Gesture Workshop
62	65	Gesture Workshop	Gesture Workshop
63	64	Gesture Workshop	Gesture Workshop
63	65	Gesture Workshop	Gesture Workshop
64	65	Gesture Workshop	Gesture Workshop
67	68	ICB	ICB
67	69	ICB	ICB
68	69	ICB	ICB
71	72	ICC	ICC
71	73	ICC	ICC
71	74	ICC	ICC
72	73	ICC	ICC
72	74	ICC	ICC
73	74	ICC	ICC
75	76	International Conference on Computational Science	International Conference on Computational Science
77	78	ICCV	ICCV
77	79	ICCV	ICCV
78	79	ICCV	ICCV
80	81	ICDAR	ICDAR
80	82	ICDAR	ICDAR
81	82	ICDAR	ICDAR
83	84	ICIAR (2)	ICIAR (2)
87	88	ICIP (2)	ICIP
87	89	ICIP (2)	ICIP
87	93	ICIP (2)	ICIP
87	94	ICIP (2)	ICIP
87	96	ICIP (2)	ICIP (2)
87	97	ICIP (2)	ICIP
87	98	ICIP (2)	ICIP
87	99	ICIP (2)	ICIP
87	100	ICIP (2)	ICIP
87	102	ICIP (2)	ICIP (2)
87	103	ICIP (2)	ICIP (2)
87	104	ICIP (2)	ICIP (2)
87	105	ICIP (2)	ICIP (2)
87	106	ICIP (2)	ICIP (2)
87	109	ICIP (2)	ICIP
87	110	ICIP (2)	ICIP
87	111	ICIP (2)	ICIP
87	112	ICIP (2)	ICIP
87	113	ICIP (2)	ICIP
87	121	ICIP (2)	ICIP
87	122	ICIP (2)	ICIP
87	123	ICIP (2)	ICIP
87	124	ICIP (2)	ICIP
87	125	ICIP (2)	ICIP
87	126	ICIP (2)	ICIP
88	89	ICIP	ICIP
88	90	ICIP	ICIP (3)
88	91	ICIP	ICIP (1)
88	92	ICIP	ICIP (1)
88	93	ICIP	ICIP
88	94	ICIP	ICIP
88	95	ICIP	ICIP (3)
88	96	ICIP	ICIP (2)
88	97	ICIP	ICIP
88	98	ICIP	ICIP
88	99	ICIP	ICIP
88	100	ICIP	ICIP
88	101	ICIP	ICIP (1)
88	102	ICIP	ICIP (2)
88	103	ICIP	ICIP (2)
88	104	ICIP	ICIP (2)
88	105	ICIP	ICIP (2)
88	106	ICIP	ICIP (2)
88	107	ICIP	ICIP (3)
88	108	ICIP	ICIP (3)
88	109	ICIP	ICIP
88	110	ICIP	ICIP
88	111	ICIP	ICIP
88	112	ICIP	ICIP
88	113	ICIP	ICIP
88	114	ICIP	ICIP (3)
88	115	ICIP	ICIP (3)
88	116	ICIP	ICIP (5)
88	117	ICIP	ICIP (5)
88	118	ICIP	ICIP (5)
88	119	ICIP	ICIP (5)
88	120	ICIP	ICIP (6)
88	121	ICIP	ICIP
88	122	ICIP	ICIP
88	123	ICIP	ICIP
88	124	ICIP	ICIP
88	125	ICIP	ICIP
88	126	ICIP	ICIP
89	90	ICIP	ICIP (3)
89	91	ICIP	ICIP (1)
89	92	ICIP	ICIP (1)
89	93	ICIP	ICIP
89	94	ICIP	ICIP
89	95	ICIP	ICIP (3)
89	96	ICIP	ICIP (2)
89	97	ICIP	ICIP
89	98	ICIP	ICIP
89	99	ICIP	ICIP
89	100	ICIP	ICIP
89	101	ICIP	ICIP (1)
89	102	ICIP	ICIP (2)
89	103	ICIP	ICIP (2)
89	104	ICIP	ICIP (2)
89	105	ICIP	ICIP (2)
89	106	ICIP	ICIP (2)
89	107	ICIP	ICIP (3)
89	108	ICIP	ICIP (3)
89	109	ICIP	ICIP
89	110	ICIP	ICIP
89	111	ICIP	ICIP
89	112	ICIP	ICIP
89	113	ICIP	ICIP
89	114	ICIP	ICIP (3)
89	115	ICIP	ICIP (3)
89	116	ICIP	ICIP (5)
89	117	ICIP	ICIP (5)
89	118	ICIP	ICIP (5)
89	119	ICIP	ICIP (5)
89	120	ICIP	ICIP (6)
89	121	ICIP	ICIP
89	122	ICIP	ICIP
89	123	ICIP	ICIP
89	124	ICIP	ICIP
89	125	ICIP	ICIP
89	126	ICIP	ICIP
90	93	ICIP (3)	ICIP
90	94	ICIP (3)	ICIP
90	95	ICIP (3)	ICIP (3)
90	97	ICIP (3)	ICIP
90	98	ICIP (3)	ICIP
90	99	ICIP (3)	ICIP
90	100	ICIP (3)	ICIP
90	107	ICIP (3)	ICIP (3)
90	108	ICIP (3)	ICIP (3)
90	109	ICIP (3)	ICIP
90	110	ICIP (3)	ICIP
90	111	ICIP (3)	ICIP
90	112	ICIP (3)	ICIP
90	113	ICIP (3)	ICIP
90	114	ICIP (3)	ICIP (3)
90	115	ICIP (3)	ICIP (3)
90	121	ICIP (3)	ICIP
90	122	ICIP (3)	ICIP
90	123	ICIP (3)	ICIP
90	124	ICIP (3)	ICIP
90	125	ICIP (3)	ICIP
90	126	ICIP (3)	ICIP
91	92	ICIP (1)	ICIP (1)
91	93	ICIP (1)	ICIP
91	94	ICIP (1)	ICIP
91	97	ICIP (1)	ICIP
91	98	ICIP (1)	ICIP
91	99	ICIP (1)	ICIP
91	100	ICIP (1)	ICIP
91	101	ICIP (1)	ICIP (1)
91	109	ICIP (1)	ICIP
91	110	ICIP (1)	ICIP
91	111	ICIP (1)	ICIP
91	112	ICIP (1)	ICIP
91	113	ICIP (1)	ICIP
91	121	ICIP (1)	ICIP
91	122	ICIP (1)	ICIP
91	123	ICIP (1)	ICIP
91	124	ICIP (1)	ICIP
91	125	ICIP (1)	ICIP
91	126	ICIP (1)	ICIP
92	93	ICIP (1)	ICIP
92	94	ICIP (1)	ICIP
92	97	ICIP (1)	ICIP
92	98	ICIP (1)	ICIP
92	99	ICIP (1)	ICIP
92	100	ICIP (1)	ICIP
92	101	ICIP (1)	ICIP (1)
92	109	ICIP (1)	ICIP
92	110	ICIP (1)	ICIP
92	111	ICIP (1)	ICIP
92	112	ICIP (1)	ICIP
92	113	ICIP (1)	ICIP
92	121	ICIP (1)	ICIP
92	122	ICIP (1)	ICIP
92	123	ICIP (1)	ICIP
92	124	ICIP (1)	ICIP
92	125	ICIP (1)	ICIP
92	126	ICIP (1)	ICIP
93	94	ICIP	ICIP
93	95	ICIP	ICIP (3)
93	96	ICIP	ICIP (2)
93	97	ICIP	ICIP
93	98	ICIP	ICIP
93	99	ICIP	ICIP
93	100	ICIP	ICIP
93	101	ICIP	ICIP (1)
93	102	ICIP	ICIP (2)
93	103	ICIP	ICIP (2)
93	104	ICIP	ICIP (2)
93	105	ICIP	ICIP (2)
93	106	ICIP	ICIP (2)
93	107	ICIP	ICIP (3)
93	108	ICIP	ICIP (3)
93	109	ICIP	ICIP
93	110	ICIP	ICIP
93	111	ICIP	ICIP
93	112	ICIP	ICIP
93	113	ICIP	ICIP
93	114	ICIP	ICIP (3)
93	115	ICIP	ICIP (3)
93	116	ICIP	ICIP (5)
93	117	ICIP	ICIP (5)
93	118	ICIP	ICIP (5)
93	119	ICIP	ICIP (5)
93	120	ICIP	ICIP (6)
93	121	ICIP	ICIP
93	122	ICIP	ICIP
93	123	ICIP	ICIP
93	124	ICIP	ICIP
93	125	ICIP	ICIP
93	126	ICIP	ICIP
94	95	ICIP	ICIP (3)
94	96	ICIP	ICIP (2)
94	97	ICIP	ICIP
94	98	ICIP	ICIP
94	99	ICIP	ICIP
94	100	ICIP	ICIP
94	101	ICIP	ICIP (1)
94	102	ICIP	ICIP (2)
94	103	ICIP	ICIP (2)
94	104	ICIP	ICIP (2)
94	105	ICIP	ICIP (2)
94	106	ICIP	ICIP (2)
94	107	ICIP	ICIP (3)
94	108	ICIP	ICIP (3)
94	109	ICIP	ICIP
94	110	ICIP	ICIP
94	111	ICIP	ICIP
94	112	ICIP	ICIP
94	113	ICIP	ICIP
94	114	ICIP	ICIP (3)
94	115	ICIP	ICIP (3)
94	116	ICIP	ICIP (5)
94	117	ICIP	ICIP (5)
94	118	ICIP	ICIP (5)
94	119	ICIP	ICIP (5)
94	120	ICIP	ICIP (6)
94	121	ICIP	ICIP
94	122	ICIP	ICIP
94	123	ICIP	ICIP
94	124	ICIP	ICIP
94	125	ICIP	ICIP
94	126	ICIP	ICIP
95	97	ICIP (3)	ICIP
95	98	ICIP (3)	ICIP
95	99	ICIP (3)	ICIP
95	100	ICIP (3)	ICIP
95	107	ICIP (3)	ICIP (3)
95	108	ICIP (3)	ICIP (3)
95	109	ICIP (3)	ICIP
95	110	ICIP (3)	ICIP
95	111	ICIP (3)	ICIP
95	112	ICIP (3)	ICIP
95	113	ICIP (3)	ICIP
95	114	ICIP (3)	ICIP (3)
95	115	ICIP (3)	ICIP (3)
95	121	ICIP (3)	ICIP
95	122	ICIP (3)	ICIP
95	123	ICIP (3)	ICIP
95	124	ICIP (3)	ICIP
95	125	ICIP (3)	ICIP
95	126	ICIP (3)	ICIP
96	97	ICIP (2)	ICIP
96	98	ICIP (2)	ICIP
96	99	ICIP (2)	ICIP
96	100	ICIP (2)	ICIP
96	102	ICIP (2)	ICIP (2)
96	103	ICIP (2)	ICIP (2)
96	104	ICIP (2)	ICIP (2)
96	105	ICIP (2)	ICIP (2)
96	106	ICIP (2)	ICIP (2)
96	109	ICIP (2)	ICIP
96	110	ICIP (2)	ICIP
96	111	ICIP (2)	ICIP
96	112	ICIP (2)	ICIP
96	113	ICIP (2)	ICIP
96	121	ICIP (2)	ICIP
96	122	ICIP (2)	ICIP
96	123	ICIP (2)	ICIP
96	124	ICIP (2)	ICIP
96	125	ICIP (2)	ICIP
96	126	ICIP (2)	ICIP
97	98	ICIP	ICIP
97	99	ICIP	ICIP
97	100	ICIP	ICIP
97	101	ICIP	ICIP (1)
97	102	ICIP	ICIP (2)
97	103	ICIP	ICIP (2)
97	104	ICIP	ICIP (2)
97	105	ICIP	ICIP (2)
97	106	ICIP	ICIP (2)
97	107	ICIP	ICIP (3)
97	108	ICIP	ICIP (3)
97	109	ICIP	ICIP
97	110	ICIP	ICIP
97	111	ICIP	ICIP
97	112	ICIP	ICIP
97	113	ICIP	ICIP
97	114	ICIP	ICIP (3)
97	115	ICIP	ICIP (3)
97	116	ICIP	ICIP (5)
97	117	ICIP	ICIP (5)
97	118	ICIP	ICIP (5)
97	119	ICIP	ICIP (5)
97	120	ICIP	ICIP (6)
97	121	ICIP	ICIP
97	122	ICIP	ICIP
97	123	ICIP	ICIP
97	124	ICIP	ICIP
97	125	ICIP	ICIP
97	126	ICIP	ICIP
98	99	ICIP	ICIP
98	100	ICIP	ICIP
98	101	ICIP	ICIP (1)
98	102	ICIP	ICIP (2)
98	103	ICIP	ICIP (2)
98	104	ICIP	ICIP (2)
98	105	ICIP	ICIP (2)
98	106	ICIP	ICIP (2)
98	107	ICIP	ICIP (3)
98	108	ICIP	ICIP (3)
98	109	ICIP	ICIP
98	110	ICIP	ICIP
98	111	ICIP	ICIP
98	112	ICIP	ICIP
98	113	ICIP	ICIP
98	114	ICIP	ICIP (3)
98	115	ICIP	ICIP (3)
98	116	ICIP	ICIP (5)
98	117	ICIP	ICIP (5)
98	118	ICIP	ICIP (5)
98	119	ICIP	ICIP (5)
98	120	ICIP	ICIP (6)
98	121	ICIP	ICIP
98	122	ICIP	ICIP
98	123	ICIP	ICIP
98	124	ICIP	ICIP
98	125	ICIP	ICIP
98	126	ICIP	ICIP
99	100	ICIP	ICIP
99	101	ICIP	ICIP (1)
99	102	ICIP	ICIP (2)
99	103	ICIP	ICIP (2)
99	104	ICIP	ICIP (2)
99	105	ICIP	ICIP (2)
99	106	ICIP	ICIP (2)
99	107	ICIP	ICIP (3)
99	108	ICIP	ICIP (3)
99	109	ICIP	ICIP
99	110	ICIP	ICIP
99	111	ICIP	ICIP
99	112	ICIP	ICIP
99	113	ICIP	ICIP
99	114	ICIP	ICIP (3)
99	115	ICIP	ICIP (3)
99	116	ICIP	ICIP (5)
99	117	ICIP	ICIP (5)
99	118	ICIP	ICIP (5)
99	119	ICIP	ICIP (5)
99	120	ICIP	ICIP (6)
99	121	ICIP	ICIP
99	122	ICIP	ICIP
99	123	ICIP	ICIP
99	124	ICIP	ICIP
99	125	ICIP	ICIP
99	126	ICIP	ICIP
100	101	ICIP	ICIP (1)
100	102	ICIP	ICIP (2)
100	103	ICIP	ICIP (2)
100	104	ICIP	ICIP (2)
100	105	ICIP	ICIP (2)
100	106	ICIP	ICIP (2)
100	107	ICIP	ICIP (3)
100	108	ICIP	ICIP (3)
100	109	ICIP	ICIP
100	110	ICIP	ICIP
100	111	ICIP	ICIP
100	112	ICIP	ICIP
100	113	ICIP	ICIP
100	114	ICIP	ICIP (3)
100	115	ICIP	ICIP (3)
100	116	ICIP	ICIP (5)
100	117	ICIP	ICIP (5)
100	118	ICIP	ICIP (5)
100	119	ICIP	ICIP (5)
100	120	ICIP	ICIP (6)
100	121	ICIP	ICIP
100	122	ICIP	ICIP
100	123	ICIP	ICIP
100	124	ICIP	ICIP
100	125	ICIP	ICIP
100	126	ICIP	ICIP
101	109	ICIP (1)	ICIP
101	110	ICIP (1)	ICIP
101	111	ICIP (1)	ICIP
101	112	ICIP (1)	ICIP
101	113	ICIP (1)	ICIP
101	121	ICIP (1)	ICIP
101	122	ICIP (1)	ICIP
101	123	ICIP (1)	ICIP
101	124	ICIP (1)	ICIP
101	125	ICIP (1)	ICIP
101	126	ICIP (1)	ICIP
102	103	ICIP (2)	ICIP (2)
102	104	ICIP (2)	ICIP (2)
102	105	ICIP (2)	ICIP (2)
102	106	ICIP (2)	ICIP (2)
102	109	ICIP (2)	ICIP
102	110	ICIP (2)	ICIP
102	111	ICIP (2)	ICIP
102	112	ICIP (2)	ICIP
102	113	ICIP (2)	ICIP
102	121	ICIP (2)	ICIP
102	122	ICIP (2)	ICIP
102	123	ICIP (2)	ICIP
102	124	ICIP (2)	ICIP
102	125	ICIP (2)	ICIP
102	126	ICIP (2)	ICIP
103	104	ICIP (2)	ICIP (2)
103	105	ICIP (2)	ICIP (2)
103	106	ICIP (2)	ICIP (2)
103	109	ICIP (2)	ICIP
103	110	ICIP (2)	ICIP
103	111	ICIP (2)	ICIP
103	112	ICIP (2)	ICIP
103	113	ICIP (2)	ICIP
103	121	ICIP (2)	ICIP
103	122	ICIP (2)	ICIP
103	123	ICIP (2)	ICIP
103	124	ICIP (2)	ICIP
103	125	ICIP (2)	ICIP
103	126	ICIP (2)	ICIP
104	105	ICIP (2)	ICIP (2)
104	106	ICIP (2)	ICIP (2)
104	109	ICIP (2)	ICIP
104	110	ICIP (2)	ICIP
104	111	ICIP (2)	ICIP
104	112	ICIP (2)	ICIP
104	113	ICIP (2)	ICIP
104	121	ICIP (2)	ICIP
104	122	ICIP (2)	ICIP
104	123	ICIP (2)	ICIP
104	124	ICIP (2)	ICIP
104	125	ICIP (2)	ICIP
104	126	ICIP (2)	ICIP
105	106	ICIP (2)	ICIP (2)
105	109	ICIP (2)	ICIP
105	110	ICIP (2)	ICIP
105	111	ICIP (2)	ICIP
105	112	ICIP (2)	ICIP
105	113	ICIP (2)	ICIP
105	121	ICIP (2)	ICIP
105	122	ICIP (2)	ICIP
105	123	ICIP (2)	ICIP
105	124	ICIP (2)	ICIP
105	125	ICIP (2)	ICIP
105	126	ICIP (2)	ICIP
106	109	ICIP (2)	ICIP
106	110	ICIP (2)	ICIP
106	111	ICIP (2)	ICIP
106	112	ICIP (2)	ICIP
106	113	ICIP (2)	ICIP
106	121	ICIP (2)	ICIP
106	122	ICIP (2)	ICIP
106	123	ICIP (2)	ICIP
106	124	ICIP (2)	ICIP
106	125	ICIP (2)	ICIP
106	126	ICIP (2)	ICIP
107	108	ICIP (3)	ICIP (3)
107	109	ICIP (3)	ICIP
107	110	ICIP (3)	ICIP
107	111	ICIP (3)	ICIP
107	112	ICIP (3)	ICIP
107	113	ICIP (3)	ICIP
107	114	ICIP (3)	ICIP (3)
107	115	ICIP (3)	ICIP (3)
107	121	ICIP (3)	ICIP
107	122	ICIP (3)	ICIP
107	123	ICIP (3)	ICIP
107	124	ICIP (3)	ICIP
107	125	ICIP (3)	ICIP
107	126	ICIP (3)	ICIP
108	109	ICIP (3)	ICIP
108	110	ICIP (3)	ICIP
108	111	ICIP (3)	ICIP
108	112	ICIP (3)	ICIP
108	113	ICIP (3)	ICIP
108	114	ICIP (3)	ICIP (3)
108	115	ICIP (3)	ICIP (3)
108	121	ICIP (3)	ICIP
108	122	ICIP (3)	ICIP
108	123	ICIP (3)	ICIP
108	124	ICIP (3)	ICIP
108	125	ICIP (3)	ICIP
108	126	ICIP (3)	ICIP
109	110	ICIP	ICIP
109	111	ICIP	ICIP
109	112	ICIP	ICIP
109	113	ICIP	ICIP
109	114	ICIP	ICIP (3)
109	115	ICIP	ICIP (3)
109	116	ICIP	ICIP (5)
109	117	ICIP	ICIP (5)
109	118	ICIP	ICIP (5)
109	119	ICIP	ICIP (5)
109	120	ICIP	ICIP (6)
109	121	ICIP	ICIP
109	122	ICIP	ICIP
109	123	ICIP	ICIP
109	124	ICIP	ICIP
109	125	ICIP	ICIP
109	126	ICIP	ICIP
110	111	ICIP	ICIP
110	112	ICIP	ICIP
110	113	ICIP	ICIP
110	114	ICIP	ICIP (3)
110	115	ICIP	ICIP (3)
110	116	ICIP	ICIP (5)
110	117	ICIP	ICIP (5)
110	118	ICIP	ICIP (5)
110	119	ICIP	ICIP (5)
110	120	ICIP	ICIP (6)
110	121	ICIP	ICIP
110	122	ICIP	ICIP
110	123	ICIP	ICIP
110	124	ICIP	ICIP
110	125	ICIP	ICIP
110	126	ICIP	ICIP
111	112	ICIP	ICIP
111	113	ICIP	ICIP
111	114	ICIP	ICIP (3)
111	115	ICIP	ICIP (3)
111	116	ICIP	ICIP (5)
111	117	ICIP	ICIP (5)
111	118	ICIP	ICIP (5)
111	119	ICIP	ICIP (5)
111	120	ICIP	ICIP (6)
111	121	ICIP	ICIP
111	122	ICIP	ICIP
111	123	ICIP	ICIP
111	124	ICIP	ICIP
111	125	ICIP	ICIP
111	126	ICIP	ICIP
112	113	ICIP	ICIP
112	114	ICIP	ICIP (3)
112	115	ICIP	ICIP (3)
112	116	ICIP	ICIP (5)
112	117	ICIP	ICIP (5)
112	118	ICIP	ICIP (5)
112	119	ICIP	ICIP (5)
112	120	ICIP	ICIP (6)
112	121	ICIP	ICIP
112	122	ICIP	ICIP
112	123	ICIP	ICIP
112	124	ICIP	ICIP
112	125	ICIP	ICIP
112	126	ICIP	ICIP
113	114	ICIP	ICIP (3)
113	115	ICIP	ICIP (3)
113	116	ICIP	ICIP (5)
113	117	ICIP	ICIP (5)
113	118	ICIP	ICIP (5)
113	119	ICIP	ICIP (5)
113	120	ICIP	ICIP (6)
113	121	ICIP	ICIP
113	122	ICIP	ICIP
113	123	ICIP	ICIP
113	124	ICIP	ICIP
113	125	ICIP	ICIP
113	126	ICIP	ICIP
114	115	ICIP (3)	ICIP (3)
114	121	ICIP (3)	ICIP
114	122	ICIP (3)	ICIP
114	123	ICIP (3)	ICIP
114	124	ICIP (3)	ICIP
114	125	ICIP (3)	ICIP
114	126	ICIP (3)	ICIP
115	121	ICIP (3)	ICIP
115	122	ICIP (3)	ICIP
115	123	ICIP (3)	ICIP
115	124	ICIP (3)	ICIP
115	125	ICIP (3)	ICIP
115	126	ICIP (3)	ICIP
116	117	ICIP (5)	ICIP (5)
116	118	ICIP (5)	ICIP (5)
116	119	ICIP (5)	ICIP (5)
116	121	ICIP (5)	ICIP
116	122	ICIP (5)	ICIP
116	123	ICIP (5)	ICIP
116	124	ICIP (5)	ICIP
116	125	ICIP (5)	ICIP
116	126	ICIP (5)	ICIP
117	118	ICIP (5)	ICIP (5)
117	119	ICIP (5)	ICIP (5)
117	121	ICIP (5)	ICIP
117	122	ICIP (5)	ICIP
117	123	ICIP (5)	ICIP
117	124	ICIP (5)	ICIP
117	125	ICIP (5)	ICIP
117	126	ICIP (5)	ICIP
118	119	ICIP (5)	ICIP (5)
118	121	ICIP (5)	ICIP
118	122	ICIP (5)	ICIP
118	123	ICIP (5)	ICIP
118	124	ICIP (5)	ICIP
118	125	ICIP (5)	ICIP
118	126	ICIP (5)	ICIP
119	121	ICIP (5)	ICIP
119	122	ICIP (5)	ICIP
119	123	ICIP (5)	ICIP
119	124	ICIP (5)	ICIP
119	125	ICIP (5)	ICIP
119	126	ICIP (5)	ICIP
120	121	ICIP (6)	ICIP
120	122	ICIP (6)	ICIP
120	123	ICIP (6)	ICIP
120	124	ICIP (6)	ICIP
120	125	ICIP (6)	ICIP
120	126	ICIP (6)	ICIP
121	122	ICIP	ICIP
121	123	ICIP	ICIP
121	124	ICIP	ICIP
121	125	ICIP	ICIP
121	126	ICIP	ICIP
122	123	ICIP	ICIP
122	124	ICIP	ICIP
122	125	ICIP	ICIP
122	126	ICIP	ICIP
123	124	ICIP	ICIP
123	125	ICIP	ICIP
123	126	ICIP	ICIP
124	125	ICIP	ICIP
124	126	ICIP	ICIP
125	126	ICIP	ICIP
127	128	ICME	ICME
127	129	ICME	ICME
127	130	ICME	ICME
127	131	ICME	ICME
127	132	ICME	ICME
127	133	ICME	ICME
127	134	ICME	ICME
127	135	ICME	ICME
127	136	ICME	ICME
127	137	ICME	ICME
127	138	ICME	ICME
127	139	ICME	ICME
127	140	ICME	ICME
127	141	ICME	ICME
127	142	ICME	ICME
127	143	ICME	ICME
127	144	ICME	ICME
127	145	ICME	ICME
127	146	ICME	ICME
127	147	ICME	ICME
127	148	ICME	ICME
127	149	ICME	ICME
127	150	ICME	ICME
127	151	ICME	ICME
127	152	ICME	ICME
127	153	ICME	ICME
127	154	ICME	ICME
127	155	ICME	ICME
127	156	ICME	ICME
127	157	ICME	ICME
127	158	ICME	ICME
127	159	ICME	ICME
128	129	ICME	ICME
128	130	ICME	ICME
128	131	ICME	ICME
128	132	ICME	ICME
128	133	ICME	ICME
128	134	ICME	ICME
128	135	ICME	ICME
128	136	ICME	ICME
128	137	ICME	ICME
128	138	ICME	ICME
128	139	ICME	ICME
128	140	ICME	ICME
128	141	ICME	ICME
128	142	ICME	ICME
128	143	ICME	ICME
128	144	ICME	ICME
128	145	ICME	ICME
128	146	ICME	ICME
128	147	ICME	ICME
128	148	ICME	ICME
128	149	ICME	ICME
128	150	ICME	ICME
128	151	ICME	ICME
128	152	ICME	ICME
128	153	ICME	ICME
128	154	ICME	ICME
128	155	ICME	ICME
128	156	ICME	ICME
128	157	ICME	ICME
128	158	ICME	ICME
128	159	ICME	ICME
129	130	ICME	ICME
129	131	ICME	ICME
129	132	ICME	ICME
129	133	ICME	ICME
129	134	ICME	ICME
129	135	ICME	ICME
129	136	ICME	ICME
129	137	ICME	ICME
129	138	ICME	ICME
129	139	ICME	ICME
129	140	ICME	ICME
129	141	ICME	ICME
129	142	ICME	ICME
129	143	ICME	ICME
129	144	ICME	ICME
129	145	ICME	ICME
129	146	ICME	ICME
129	147	ICME	ICME
129	148	ICME	ICME
129	149	ICME	ICME
129	150	ICME	ICME
129	151	ICME	ICME
129	152	ICME	ICME
129	153	ICME	ICME
129	154	ICME	ICME
129	155	ICME	ICME
129	156	ICME	ICME
129	157	ICME	ICME
129	158	ICME	ICME
129	159	ICME	ICME
130	131	ICME	ICME
130	132	ICME	ICME
130	133	ICME	ICME
130	134	ICME	ICME
130	135	ICME	ICME
130	136	ICME	ICME
130	137	ICME	ICME
130	138	ICME	ICME
130	139	ICME	ICME
130	140	ICME	ICME
130	141	ICME	ICME
130	142	ICME	ICME
130	143	ICME	ICME
130	144	ICME	ICME
130	145	ICME	ICME
130	146	ICME	ICME
130	147	ICME	ICME
130	148	ICME	ICME
130	149	ICME	ICME
130	150	ICME	ICME
130	151	ICME	ICME
130	152	ICME	ICME
130	153	ICME	ICME
130	154	ICME	ICME
130	155	ICME	ICME
130	156	ICME	ICME
130	157	ICME	ICME
130	158	ICME	ICME
130	159	ICME	ICME
131	132	ICME	ICME
131	133	ICME	ICME
131	134	ICME	ICME
131	135	ICME	ICME
131	136	ICME	ICME
