1	2	GI Jahrestagung	GI Jahrestagung (1)
22	30	Computer Aided Geometric Design	Computer Aided Geometric Design
22	39	Computer Aided Geometric Design	Computer Aided Geometric Design
22	40	Computer Aided Geometric Design	Computer Aided Geometric Design
22	41	Computer Aided Geometric Design	Computer Aided Geometric Design
23	24	Computer Aided Geometric Design	Computer Aided Geometric Design
23	25	Computer Aided Geometric Design	Computer Aided Geometric Design
23	26	Computer Aided Geometric Design	Computer Aided Geometric Design
23	27	Computer Aided Geometric Design	Computer Aided Geometric Design
23	28	Computer Aided Geometric Design	Computer Aided Geometric Design
23	29	Computer Aided Geometric Design	Computer Aided Geometric Design
23	30	Computer Aided Geometric Design	Computer Aided Geometric Design
23	39	Computer Aided Geometric Design	Computer Aided Geometric Design
23	40	Computer Aided Geometric Design	Computer Aided Geometric Design
23	41	Computer Aided Geometric Design	Computer Aided Geometric Design
24	25	Computer Aided Geometric Design	Computer Aided Geometric Design
24	26	Computer Aided Geometric Design	Computer Aided Geometric Design
24	27	Computer Aided Geometric Design	Computer Aided Geometric Design
24	28	Computer Aided Geometric Design	Computer Aided Geometric Design
24	29	Computer Aided Geometric Design	Computer Aided Geometric Design
24	30	Computer Aided Geometric Design	Computer Aided Geometric Design
24	39	Computer Aided Geometric Design	Computer Aided Geometric Design
24	40	Computer Aided Geometric Design	Computer Aided Geometric Design
24	41	Computer Aided Geometric Design	Computer Aided Geometric Design
25	26	Computer Aided Geometric Design	Computer Aided Geometric Design
25	27	Computer Aided Geometric Design	Computer Aided Geometric Design
25	28	Computer Aided Geometric Design	Computer Aided Geometric Design
25	29	Computer Aided Geometric Design	Computer Aided Geometric Design
25	30	Computer Aided Geometric Design	Computer Aided Geometric Design
25	39	Computer Aided Geometric Design	Computer Aided Geometric Design
25	40	Computer Aided Geometric Design	Computer Aided Geometric Design
25	41	Computer Aided Geometric Design	Computer Aided Geometric Design
26	27	Computer Aided Geometric Design	Computer Aided Geometric Design
26	28	Computer Aided Geometric Design	Computer Aided Geometric Design
26	29	Computer Aided Geometric Design	Computer Aided Geometric Design
26	30	Computer Aided Geometric Design	Computer Aided Geometric Design
26	39	Computer Aided Geometric Design	Computer Aided Geometric Design
26	40	Computer Aided Geometric Design	Computer Aided Geometric Design
26	41	Computer Aided Geometric Design	Computer Aided Geometric Design
27	28	Computer Aided Geometric Design	Computer Aided Geometric Design
27	29	Computer Aided Geometric Design	Computer Aided Geometric Design
27	30	Computer Aided Geometric Design	Computer Aided Geometric Design
27	39	Computer Aided Geometric Design	Computer Aided Geometric Design
27	40	Computer Aided Geometric Design	Computer Aided Geometric Design
27	41	Computer Aided Geometric Design	Computer Aided Geometric Design
28	29	Computer Aided Geometric Design	Computer Aided Geometric Design
28	30	Computer Aided Geometric Design	Computer Aided Geometric Design
28	39	Computer Aided Geometric Design	Computer Aided Geometric Design
28	40	Computer Aided Geometric Design	Computer Aided Geometric Design
28	41	Computer Aided Geometric Design	Computer Aided Geometric Design
29	30	Computer Aided Geometric Design	Computer Aided Geometric Design
29	39	Computer Aided Geometric Design	Computer Aided Geometric Design
29	40	Computer Aided Geometric Design	Computer Aided Geometric Design
29	41	Computer Aided Geometric Design	Computer Aided Geometric Design
30	39	Computer Aided Geometric Design	Computer Aided Geometric Design
30	40	Computer Aided Geometric Design	Computer Aided Geometric Design
30	41	Computer Aided Geometric Design	Computer Aided Geometric Design
35	36	TAP	TAP
39	40	Computer Aided Geometric Design	Computer Aided Geometric Design
39	41	Computer Aided Geometric Design	Computer Aided Geometric Design
40	41	Computer Aided Geometric Design	Computer Aided Geometric Design
42	43	Proceedings of the 3rd international workshop on Haptic and Audio Interaction Design	Proceedings of the 4th International Conference on Haptic and Audio Interaction Design
