1	22	Chuntian Cheng	Chun-Tian Cheng
21	49	Klara Nahrstedt	Klara Nahrstedt
21	61	Klara Nahrstedt	Klara Nahrstedt
21	82	Klara Nahrstedt	Klara Nahrstedt
23	31	Anil K. Jain	Anil K. Jain
23	62	Anil K. Jain	Anil K. Jain
23	63	Anil K. Jain	Anil K. Jain
23	64	Anil K. Jain	Anil K. Jain
23	65	Anil K. Jain	Anil K. Jain
27	28	S. Grace Chang	S. Grace Chang
27	28	Martin Vetterli	Martin Vetterli
27	29	S. Grace Chang	S. Grace Chang
27	29	Martin Vetterli	Martin Vetterli
27	68	S. Grace Chang	S. Grace Chang
27	68	Martin Vetterli	Martin Vetterli
27	69	S. Grace Chang	S. Grace Chang
27	69	Martin Vetterli	Martin Vetterli
27	70	S. Grace Chang	S. Grace Chang
27	70	Martin Vetterli	Martin Vetterli
28	29	S. Grace Chang	S. Grace Chang
28	29	Martin Vetterli	Martin Vetterli
28	68	S. Grace Chang	S. Grace Chang
28	68	Martin Vetterli	Martin Vetterli
28	69	S. Grace Chang	S. Grace Chang
28	69	Martin Vetterli	Martin Vetterli
28	70	S. Grace Chang	S. Grace Chang
28	70	Martin Vetterli	Martin Vetterli
29	68	S. Grace Chang	S. Grace Chang
29	68	Martin Vetterli	Martin Vetterli
29	69	S. Grace Chang	S. Grace Chang
29	69	Martin Vetterli	Martin Vetterli
29	70	S. Grace Chang	S. Grace Chang
29	70	Martin Vetterli	Martin Vetterli
30	38	Rebecka Jornsten	Rebecka Jornsten
30	53	Rebecka Jornsten	Rebecka Jornsten
30	80	Rebecka Jornsten	Rebecka Jornsten
30	80	Wei Wang	Wei Wang
30	80	Kannan Ramchandran	Kannan Ramchandran
31	62	Anil K. Jain	Anil K. Jain
31	63	Anil K. Jain	Anil K. Jain
31	64	Anil K. Jain	Anil K. Jain
31	65	Anil K. Jain	Anil K. Jain
32	52	Mahadevan Venkatraman	Mahadevan Venkatraman
32	52	Munindar P. Singh	Munindar P. Singh
32	54	Mahadevan Venkatraman	Mahadevan Venkatraman
32	54	Munindar P. Singh	Munindar P. Singh
32	55	Munindar P. Singh	Munindar P. Singh
33	39	Klara Nahrstedt	Klara Nahrstedt
33	40	Klara Nahrstedt	Klara Nahrstedt
33	43	Klara Nahrstedt	Klara Nahrstedt
33	44	Klara Nahrstedt	Klara Nahrstedt
33	46	Klara Nahrstedt	Klara Nahrstedt
33	49	Klara Nahrstedt	Klara Nahrstedt
33	61	Klara Nahrstedt	Klara Nahrstedt
33	82	Klara Nahrstedt	Klara Nahrstedt
36	58	Xinggang Lin	Xinggang Lin
36	58	Youshou Wu	Youshou Wu
36	100	Xinggang Lin	Xinggang Lin
36	100	Youshou Wu	Youshou Wu
36	104	Xinggang Lin	Xinggang Lin
36	104	Youshou Wu	Youshou Wu
37	75	Gang Liang	Gang Liang
38	53	Rebecka Jornsten	Rebecka Jornsten
38	80	Rebecka Jornsten	Rebecka Jornsten
39	40	Zhenyu Yang	Zhenyu Yang
39	40	Klara Nahrstedt	Klara Nahrstedt
39	40	Ruzena Bajcsy	Ruzena Bajcsy
39	43	Klara Nahrstedt	Klara Nahrstedt
39	44	Klara Nahrstedt	Klara Nahrstedt
39	45	Zhenyu Yang	Zhenyu Yang
39	45	Ruzena Bajcsy	Ruzena Bajcsy
39	46	Klara Nahrstedt	Klara Nahrstedt
39	49	Zhenyu Yang	Zhenyu Yang
39	49	Klara Nahrstedt	Klara Nahrstedt
39	49	Ruzena Bajcsy	Ruzena Bajcsy
39	61	Klara Nahrstedt	Klara Nahrstedt
39	82	Klara Nahrstedt	Klara Nahrstedt
39	82	Yi Cui	Yi Cui
39	82	Jin Liang	Jin Liang
40	43	Klara Nahrstedt	Klara Nahrstedt
40	44	Klara Nahrstedt	Klara Nahrstedt
40	45	Zhenyu Yang	Zhenyu Yang
40	45	Wanmin Wu	Wanmin Wu
40	45	Ross Diankov	Ross Diankov
40	45	Ruzena Bajcsy	Ruzena Bajcsy
40	46	Klara Nahrstedt	Klara Nahrstedt
40	49	Zhenyu Yang	Zhenyu Yang
40	49	Klara Nahrstedt	Klara Nahrstedt
40	49	Ruzena Bajcsy	Ruzena Bajcsy
40	61	Klara Nahrstedt	Klara Nahrstedt
40	82	Klara Nahrstedt	Klara Nahrstedt
43	44	Klara Nahrstedt	Klara Nahrstedt
43	46	Klara Nahrstedt	Klara Nahrstedt
43	49	Klara Nahrstedt	Klara Nahrstedt
43	61	Klara Nahrstedt	Klara Nahrstedt
43	82	Klara Nahrstedt	Klara Nahrstedt
44	46	Klara Nahrstedt	Klara Nahrstedt
44	49	Klara Nahrstedt	Klara Nahrstedt
44	61	Klara Nahrstedt	Klara Nahrstedt
44	82	Klara Nahrstedt	Klara Nahrstedt
45	49	Zhenyu Yang	Zhenyu Yang
45	49	Ruzena Bajcsy	Ruzena Bajcsy
46	49	Klara Nahrstedt	Klara Nahrstedt
46	61	Klara Nahrstedt	Klara Nahrstedt
46	82	Klara Nahrstedt	Klara Nahrstedt
47	48	Pradeep Ravikumar	Pradeep Ravikumar
48	56	Vincent Q. Vu	Vincent Q. Vu
48	90	Vincent Q. Vu	Vincent Q. Vu
49	61	Klara Nahrstedt	Klara Nahrstedt
49	82	Klara Nahrstedt	Klara Nahrstedt
50	57	Maozhen Li	Maozhen Li
50	57	Man Qi	Man Qi
50	79	Maozhen Li	Maozhen Li
50	84	Maozhen Li	Maozhen Li
50	84	Man Qi	Man Qi
50	86	Maozhen Li	Maozhen Li
50	86	Man Qi	Man Qi
52	54	Mahadevan Venkatraman	Mahadevan Venkatraman
52	54	Munindar P. Singh	Munindar P. Singh
52	55	Munindar P. Singh	Munindar P. Singh
53	80	Rebecka Jornsten	Rebecka Jornsten
54	55	Munindar P. Singh	Munindar P. Singh
56	90	Vincent Q. Vu	Vincent Q. Vu
56	90	Robert E. Kass	Robert E. Kass
57	79	Maozhen Li	Maozhen Li
57	84	Maozhen Li	Maozhen Li
57	84	Man Qi	Man Qi
57	86	Maozhen Li	Maozhen Li
57	86	Man Qi	Man Qi
58	100	Xinggang Lin	Xinggang Lin
58	100	Youshou Wu	Youshou Wu
58	104	Xinggang Lin	Xinggang Lin
58	104	Youshou Wu	Youshou Wu
60	97	Peng Zhao	Peng Zhao
61	82	Klara Nahrstedt	Klara Nahrstedt
62	63	Anil K. Jain	Anil K. Jain
62	64	Anil K. Jain	Anil K. Jain
62	65	Anil K. Jain	Anil K. Jain
63	64	Anil K. Jain	Anil K. Jain
63	65	Anil K. Jain	Anil K. Jain
64	65	Anil K. Jain	Anil K. Jain
66	100	Baozong Yuan	Baozong Yuan
68	69	S. Grace Chang	S. Grace Chang
68	69	Martin Vetterli	Martin Vetterli
68	70	S. Grace Chang	S. Grace Chang
68	70	Martin Vetterli	Martin Vetterli
69	70	S. Grace Chang	S. Grace Chang
69	70	Martin Vetterli	Martin Vetterli
72	76	Jorma Rissanen	Jorma Rissanen
72	102	Andrew R. Barron	Andrew Barron
72	102	Jorma Rissanen	Jorma Rissanen
76	78	Terry P. Speed	Terry P. Speed
76	102	Jorma Rissanen	Jorma Rissanen
79	84	Maozhen Li	Maozhen Li
79	86	Maozhen Li	Maozhen Li
81	88	Zhong-Zhen Yang	Zhong-Zhen Yang
84	86	Maozhen Li	Maozhen Li
84	86	Man Qi	Man Qi
85	91	Katia P. Sycara	Katia P. Sycara
85	91	Robin Glinton	Robin Glinton
85	91	Joseph A. Giampapa	Joseph A. Giampapa
85	91	Sean Owens	Sean Owens
85	91	Michael Lewis	Michael Lewis
93	94	Liguo Fang	Liguo Fang
100	104	Xinggang Lin	Xinggang Lin
100	104	Youshou Wu	Youshou Wu
