0	8	Vinod Ganapathy	Vinod Ganapathy
43	53	Yang Richard Yang	Yang Richard Yang
43	74	Haiyong Xie	Haiyong Xie
43	74	Yang Richard Yang	Yang Richard Yang
43	75	Yang Richard Yang	Yang Richard Yang
43	131	Haiyong Xie	Haiyong Xie
43	131	Yang Richard Yang	Yang Richard Yang
43	131	Erran L. Li	Erran L. Li
43	131	Yanbin Liu	Yanbin Liu
43	138	Yang Richard Yang	Yang Richard Yang
43	173	Haiyong Xie	Haiyong Xie
43	173	Yang Richard Yang	Yang Richard Yang
43	173	Avi Silberschatz	Avi Silberschatz
43	173	Erran L. Li	Li Erran Li
43	173	Yanbin Liu	Yanbin Liu
43	175	Haiyong Xie	Haiyong Xie
43	175	Yang Richard Yang	Yang Richard Yang
43	175	Erran L. Li	Li Erran Li
43	175	Yanbin Liu	Yanbin Liu
44	53	Haiyong Xie	Haiyong Xie
44	53	Yang Richard Yang	Yang Richard Yang
44	74	Haiyong Xie	Haiyong Xie
44	74	Yang Richard Yang	Yang Richard Yang
44	75	Yang Richard Yang	Yang Richard Yang
44	131	Haiyong Xie	Haiyong Xie
44	131	Yang Richard Yang	Yang Richard Yang
44	131	Erran L. Li	Erran L. Li
44	131	Yanbin Liu	Yanbin Liu
44	138	Yang Richard Yang	Yang Richard Yang
44	173	Haiyong Xie	Haiyong Xie
44	173	Yang Richard Yang	Yang Richard Yang
44	173	Avi Silberschatz	Avi Silberschatz
44	173	Erran L. Li	Li Erran Li
44	173	Yanbin Liu	Yanbin Liu
44	175	Haiyong Xie	Haiyong Xie
44	175	Yang Richard Yang	Yang Richard Yang
44	175	Erran L. Li	Li Erran Li
44	175	Yanbin Liu	Yanbin Liu
45	46	Ying Chen	Ying Chen
45	47	Liang Liu	Liang Liu
45	47	Ying Chen	Ying Chen
45	51	Liang Liu	Liang Liu
45	94	Liang Liu	Liang Liu
45	94	Ying Chen	Ying Chen
45	96	Liang Liu	Liang Liu
45	153	Zhengwei Qi	Zhengwei Qi
45	153	Liang Liu	Liang Liu
45	153	Ying Chen	Ying Chen
45	165	Liang Liu	Liang Liu
45	165	Ying Chen	Ying Chen
45	172	Ying Chen	Ying Chen
46	47	Bo Yang	Bo Yang
46	47	Ying Chen	Ying Chen
46	94	Ying Chen	Ying Chen
46	96	Bo Yang	Bo Yang
46	143	Bo Yang	Bo Yang
46	153	Ying Chen	Ying Chen
46	165	Ying Chen	Ying Chen
46	172	Ying Chen	Ying Chen
47	50	Qian Ma	Qian Ma
47	51	Liang Liu	Liang Liu
47	94	Liang Liu	Liang Liu
47	94	Qian Ma	Qian Ma
47	94	Ying Chen	Ying Chen
47	95	Qian Ma	Qian Ma
47	96	Bo Yang	Bo Yang
47	96	Liang Liu	Liang Liu
47	140	Qian Ma	Qian Ma
47	143	Bo Yang	Bo Yang
47	153	Liang Liu	Liang Liu
47	153	Ying Chen	Ying Chen
47	165	Liang Liu	Liang Liu
47	165	Ying Chen	Ying Chen
47	172	Ying Chen	Ying Chen
50	94	Qian Ma	Qian Ma
50	94	Ying Li	Ying Li
50	95	Qian Ma	Qian Ma
50	140	Qian Ma	Qian Ma
51	94	Liang Liu	Liang Liu
51	95	Zhile Zou	Zhile Zou
51	95	Ru Fang	Ru Fang
51	96	Liang Liu	Liang Liu
51	153	Liang Liu	Liang Liu
51	165	Liang Liu	Liang Liu
51	165	Qing Bo Wang	Qing Bo Wang
52	100	Beng Chin Ooi	Beng Chin Ooi
53	74	Haiyong Xie	Haiyong Xie
53	74	Lili Qiu	Lili Qiu
53	74	Yang Richard Yang	Yang Richard Yang
53	75	Yang Richard Yang	Yang Richard Yang
53	131	Haiyong Xie	Haiyong Xie
53	131	Abraham Silberschatz	Abraham Silberschatz
53	131	Yang Richard Yang	Yang Richard Yang
53	138	Yang Richard Yang	Yang Richard Yang
53	173	Haiyong Xie	Haiyong Xie
53	173	Yang Richard Yang	Yang Richard Yang
53	175	Haiyong Xie	Haiyong Xie
53	175	Yang Richard Yang	Yang Richard Yang
54	88	Bill Lin	Bill Lin
57	66	Kui Yu	Kui Yu
57	66	Xindong Wu	Xindong Wu
57	137	Hongliang Yao	Hongliang Yao
58	69	Xiaoyan Xie	Xiaoyan Xie
58	69	Zhiyong Huang	Zhiyong Huang
60	65	Hai Jin	Hai Jin
61	139	David I. Laurenson	David I. Laurenson
61	139	Jane Hillston	Jane Hillston
62	84	Kongqiao Wang	Kongqiao Wang
62	91	Kongqiao Wang	Kongqiao Wang
62	106	Kongqiao Wang	Kongqiao Wang
62	107	Kongqiao Wang	Kongqiao Wang
70	78	Somesh Jha	Somesh Jha
70	79	Somesh Jha	Somesh Jha
70	133	Somesh Jha	Somesh Jha
71	81	Anhong Wang	Anhong Wang
71	81	Yao Zhao	Yao Zhao
73	113	Vladimir D. Tonchev	Vladimir D. Tonchev
74	75	Yang Richard Yang	Yang Richard Yang
74	75	Albert G. Greenberg	Albert G. Greenberg
74	131	Haiyong Xie	Haiyong Xie
74	131	Yang Richard Yang	Yang Richard Yang
74	138	Yang Richard Yang	Yang Richard Yang
74	173	Haiyong Xie	Haiyong Xie
74	173	Yang Richard Yang	Yang Richard Yang
74	175	Haiyong Xie	Haiyong Xie
74	175	Yang Richard Yang	Yang Richard Yang
75	131	Yang Richard Yang	Yang Richard Yang
75	138	Yang Richard Yang	Yang Richard Yang
75	173	Yang Richard Yang	Yang Richard Yang
75	175	Yang Richard Yang	Yang Richard Yang
76	146	Carlos Eduardo Scheidegger	Carlos Eduardo Scheidegger
76	146	Claudio T. Silva	Claudio T. Silva
77	99	Xiuqin Wang	Xiuqin Wang
77	99	Guangsheng Ma	Guangsheng Ma
77	176	Xiuqin Wang	Xiuqin Wang
77	176	Guangsheng Ma	Guangsheng Ma
78	79	Somesh Jha	Somesh Jha
78	133	David Brumley	David Brumley
78	133	James Newsome	James Newsome
78	133	Somesh Jha	Somesh Jha
79	133	Somesh Jha	Somesh Jha
82	102	Heqing Guo	Heqing Guo
82	102	Manshan Lin	Manshan Lin
82	102	Jianfei Yin	Jianfei Yin
84	91	Kongqiao Wang	Kongqiao Wang
84	106	Kongqiao Wang	Kongqiao Wang
84	107	Kongqiao Wang	Kongqiao Wang
85	90	Xiaokang Lin	Xiaokang Lin
86	89	Changcheng Huang	Changcheng Huang
86	89	James Yan	James Yan
91	106	Kongqiao Wang	Kongqiao Wang
91	107	Kongqiao Wang	Kongqiao Wang
92	168	Yuyi Ou	Yuyi Ou
92	168	Jie Ling	Jie Ling
92	168	Lu Liang	Lu Liang
92	168	Xiang Xu	Xiang Xu
93	105	Zhongqin Lin	Zhongqin Lin
94	95	Qian Ma	Qian Ma
94	96	Liang Liu	Liang Liu
94	140	Qian Ma	Qian Ma
94	153	Liang Liu	Liang Liu
94	153	Ying Chen	Ying Chen
94	165	Liang Liu	Liang Liu
94	165	Ying Chen	Ying Chen
94	172	Ying Chen	Ying Chen
95	140	Qian Ma	Qian Ma
96	143	Bo Yang	Bo Yang
96	153	Liang Liu	Liang Liu
96	154	Wei Wang	Wei Wang
96	165	Liang Liu	Liang Liu
99	176	Xiuqin Wang	Xiuqin Wang
99	176	Guangsheng Ma	Guangsheng Ma
104	169	Song Song	Song Song
104	169	Jian Huang	Jian Huang
104	169	Xingxin (Grace) Gao	Xingxin (Grace) Gao
106	107	Kongqiao Wang	Kongqiao Wang
109	110	Arthur W. Burks	Arthur W. Burks
131	138	Yang Richard Yang	Yang Richard Yang
131	173	Yang Richard Yang	Yang Richard Yang
131	173	Haiyong Xie	Haiyong Xie
131	173	Yanbin Liu	Yanbin Liu
131	173	Erran L. Li	Li Erran Li
131	175	Yang Richard Yang	Yang Richard Yang
131	175	Haiyong Xie	Haiyong Xie
131	175	Yanbin Liu	Yanbin Liu
131	175	Erran L. Li	Li Erran Li
135	166	Ju An Wang	Ju An Wang
135	166	Minzhe Guo	Minzhe Guo
135	166	Min Xia	Min Xia
138	173	Yang Richard Yang	Yang Richard Yang
138	175	Yang Richard Yang	Yang Richard Yang
141	150	Taoying Liu	Taoying Liu
142	155	Kun Yu	Kun Yu
147	157	Xizhong Qin	Xizhong Qin
147	157	Zhenhong Jia	Zhenhong Jia
147	157	Chun Chang	Chun Chang
147	170	Xizhong Qin	Xizhong Qin
147	170	Zhenhong Jia	Zhenhong Jia
147	170	Chun Chang	Chun Chang
148	159	Der-Horng Lee	Der-Horng Lee
148	159	Ruey Cheu	Ruey Cheu
151	152	Xu Xie	Xu Xie
151	152	Furong Wang	Furong Wang
153	165	Liang Liu	Liang Liu
153	165	Ying Chen	Ying Chen
153	172	Ying Chen	Ying Chen
157	170	Zhenhong Jia	Zhenhong Jia
157	170	Xizhong Qin	Xizhong Qin
157	170	Chun Chang	Chun Chang
163	164	Wendy MacCaull	Wendy MacCaull
165	172	Ying Chen	Ying Chen
173	175	Haiyong Xie	Haiyong Xie
173	175	Yang Richard Yang	Yang Richard Yang
173	175	Li Erran Li	Li Erran Li
173	175	Yanbin Liu	Yanbin Liu
