0	35	David Pearce	David Pearce
18	46	Qigang Gao	Qigang Gao
18	46	Hai Wang	Hai Wang
18	53	Qigang Gao	Qigang Gao
18	60	Hai Wang	Hai Wang
20	21	Betty H. C. Cheng	Betty H. C. Cheng
20	33	Betty H. C. Cheng	Betty H. C. Cheng
20	43	Betty H. C. Cheng	Betty H. C. Cheng
20	48	Betty H. C. Cheng	Betty H. C. Cheng
20	49	Betty H. C. Cheng	Betty H. C. Cheng
20	62	Betty H. C. Cheng	Betty H. Cheng
20	63	Betty H. C. Cheng	Betty H. C. Cheng
21	31	Philip K. McKinley	Philip K. McKinley
21	33	Betty H. C. Cheng	Betty H. C. Cheng
21	43	Betty H. C. Cheng	Betty H. C. Cheng
21	48	Betty H. C. Cheng	Betty H. C. Cheng
21	48	Philip K. McKinley	Philip K. McKinley
21	49	Betty H. C. Cheng	Betty H. C. Cheng
21	62	Betty H. C. Cheng	Betty H. Cheng
21	63	Betty H. C. Cheng	Betty H. C. Cheng
22	28	Qigang Gao	Qigang Gao
22	28	Hai Wang	Hai Wang
22	44	Hai Wang	Hai Wang
22	46	Qigang Gao	Qigang Gao
22	46	Hai Wang	Hai Wang
22	53	Qigang Gao	Qigang Gao
22	60	Hai Wang	Hai Wang
23	36	Han Liu	Han Liu
23	37	Han Liu	Han Liu
23	40	Han Liu	Han Liu
23	50	Han Liu	Han Liu
25	45	Khosrow Sohraby	Khosrow Sohraby
27	47	Edward J. Coyle	Edward J. Coyle
28	44	Hai Wang	Hai Wang
28	46	Qigang Gao	Qigang Gao
28	46	Hai Wang	Hai Wang
28	53	Qigang Gao	Qigang Gao
28	60	Hai Wang	Hai Wang
30	41	Wynne Hsu	Wynne Hsu
30	41	Mong-Li Lee	Mong-Li Lee
30	42	Wynne Hsu	Wynne Hsu
30	42	Mong-Li Lee	Mong-Li Lee
31	48	Philip K. McKinley	Philip K. McKinley
33	43	Betty H. C. Cheng	Betty H. C. Cheng
33	48	Betty H. C. Cheng	Betty H. C. Cheng
33	49	Betty H. C. Cheng	Betty H. C. Cheng
33	62	Betty H. C. Cheng	Betty H. Cheng
33	63	Betty H. C. Cheng	Betty H. C. Cheng
34	40	Tok Wang Ling	Tok Wang Ling
34	44	Hai H. Wang	Hai Wang
34	46	Hai H. Wang	Hai Wang
34	53	Hai H. Wang	Hai H. Wang
34	60	Meng Lou	Meng Lou
34	60	Tok Wang Ling	Tok Wang Ling
34	60	Hai H. Wang	Hai Wang
36	37	Wei Wang	Wei Wang
36	37	Han Liu	Han Liu
36	37	Sheng Zhang	Sheng Zhang
36	40	Han Liu	Han Liu
36	50	Han Liu	Han Liu
37	40	Han Liu	Han Liu
37	50	Han Liu	Han Liu
38	52	Hao Dong	Hao Dong
38	52	Mingguo Zhao	Mingguo Zhao
38	56	Hao Dong	Hao Dong
38	56	Mingguo Zhao	Mingguo Zhao
40	50	Han Liu	Han Liu
40	60	Tok Wang Ling	Tok Wang Ling
41	42	Wynne Hsu	Wynne Hsu
41	42	Mong-Li Lee	Mong-Li Lee
43	48	Betty H. C. Cheng	Betty H. C. Cheng
43	49	Betty H. C. Cheng	Betty H. C. Cheng
43	62	Betty H. C. Cheng	Betty H. Cheng
43	63	Betty H. C. Cheng	Betty H. C. Cheng
44	46	Hai Wang	Hai Wang
44	60	Hai Wang	Hai Wang
46	53	Qigang Gao	Qigang Gao
46	60	Hai Wang	Hai Wang
48	49	Betty H. C. Cheng	Betty H. C. Cheng
48	62	Betty H. C. Cheng	Betty H. Cheng
48	63	Betty H. C. Cheng	Betty H. C. Cheng
49	62	Betty H. C. Cheng	Betty H. Cheng
49	63	Betty H. C. Cheng	Betty H. C. Cheng
51	53	Qing Liu	Qing Liu
51	53	Kai Xu	Kai Xu
52	56	Mingguo Zhao	Mingguo Zhao
52	56	Hao Dong	Hao Dong
53	60	Hai H. Wang	Hai Wang
