0	4	Puteri Norhashimah	Puteri Norhashimah
14	18	ChengXiang Zhai	ChengXiang Zhai
14	19	ChengXiang Zhai	ChengXiang Zhai
14	21	ChengXiang Zhai	ChengXiang Zhai
14	29	ChengXiang Zhai	ChengXiang Zhai
14	30	ChengXiang Zhai	ChengXiang Zhai
14	31	ChengXiang Zhai	ChengXiang Zhai
14	35	ChengXiang Zhai	ChengXiang Zhai
15	16	ChengXiang Zhai	ChengXiang Zhai
15	17	ChengXiang Zhai	ChengXiang Zhai
15	18	ChengXiang Zhai	ChengXiang Zhai
15	19	ChengXiang Zhai	ChengXiang Zhai
15	21	ChengXiang Zhai	ChengXiang Zhai
15	29	ChengXiang Zhai	ChengXiang Zhai
15	30	ChengXiang Zhai	ChengXiang Zhai
15	31	ChengXiang Zhai	ChengXiang Zhai
15	35	ChengXiang Zhai	ChengXiang Zhai
16	17	ChengXiang Zhai	ChengXiang Zhai
16	18	ChengXiang Zhai	ChengXiang Zhai
16	19	ChengXiang Zhai	ChengXiang Zhai
16	21	ChengXiang Zhai	ChengXiang Zhai
16	29	Atulya Velivelli	Atulya Velivelli
16	29	ChengXiang Zhai	ChengXiang Zhai
16	30	ChengXiang Zhai	ChengXiang Zhai
16	31	Bin Tan	Bin Tan
16	31	Atulya Velivelli	Atulya Velivelli
16	31	ChengXiang Zhai	ChengXiang Zhai
16	35	ChengXiang Zhai	ChengXiang Zhai
17	18	ChengXiang Zhai	ChengXiang Zhai
17	19	ChengXiang Zhai	ChengXiang Zhai
17	21	ChengXiang Zhai	ChengXiang Zhai
17	29	Xuanhui Wang	Xuanhui Wang
17	29	ChengXiang Zhai	ChengXiang Zhai
17	30	ChengXiang Zhai	ChengXiang Zhai
17	31	ChengXiang Zhai	ChengXiang Zhai
17	35	ChengXiang Zhai	ChengXiang Zhai
18	19	ChengXiang Zhai	ChengXiang Zhai
18	21	ChengXiang Zhai	ChengXiang Zhai
18	29	ChengXiang Zhai	ChengXiang Zhai
18	30	ChengXiang Zhai	ChengXiang Zhai
18	31	ChengXiang Zhai	ChengXiang Zhai
18	35	ChengXiang Zhai	ChengXiang Zhai
19	21	ChengXiang Zhai	ChengXiang Zhai
19	29	ChengXiang Zhai	ChengXiang Zhai
19	30	ChengXiang Zhai	ChengXiang Zhai
19	31	ChengXiang Zhai	ChengXiang Zhai
19	35	ChengXiang Zhai	ChengXiang Zhai
20	32	Wen-Jing Hsu	Wen-Jing Hsu
20	32	Larry Rudolph	Larry Rudolph
20	33	Wen-Jing Hsu	Wen-Jing Hsu
20	33	Larry Rudolph	Larry Rudolph
21	29	ChengXiang Zhai	ChengXiang Zhai
21	30	ChengXiang Zhai	ChengXiang Zhai
21	31	ChengXiang Zhai	ChengXiang Zhai
21	35	ChengXiang Zhai	ChengXiang Zhai
24	25	John C. Hart	John C. Hart
24	26	John C. Hart	John C. Hart
25	26	John C. Hart	John C. Hart
27	28	Nicholas Costen	Nicholas Costen
27	39	Nicholas Costen	Nicholas Costen
27	40	Nicholas Costen	Nicholas Costen
28	39	Norman Poh	Norman Poh
28	39	Chi-Ho Chan	Chi Ho Chan
28	39	Josef Kittler	Josef Kittler
28	39	Christopher Mc Cool	Christopher Mc Cool
28	39	Mauricio Villegas	Mauricio Villegas
28	39	Roberto Paredes	Roberto Paredes
28	39	Albert Ali Salah	Albert Ali Salah
28	39	Nicholas Costen	Nicholas Costen
28	40	Nicholas Costen	Nicholas Costen
29	30	ChengXiang Zhai	ChengXiang Zhai
29	31	ChengXiang Zhai	ChengXiang Zhai
29	31	Atulya Velivelli	Atulya Velivelli
29	35	ChengXiang Zhai	ChengXiang Zhai
30	31	ChengXiang Zhai	ChengXiang Zhai
30	35	ChengXiang Zhai	ChengXiang Zhai
31	35	ChengXiang Zhai	ChengXiang Zhai
32	33	Wen-Jing Hsu	Wen-Jing Hsu
32	33	Larry Rudolph	Larry Rudolph
36	41	Fei Liu	Fei Liu
36	41	Fan Zhang	Fan Zhang
36	41	Weijun Zhou	Weijun Zhou
36	41	Yong He	Yong He
39	40	Nicholas Costen	Nicholas Costen
