1	2	Arun Krishnan	Arun Krishnan
23	32	Robert J. Kauffman	Robert J. Kauffman
23	39	Robert J. Kauffman	Robert J. Kauffman
23	41	Gediminas Adomavicius	Gediminas Adomavicius
23	43	Gediminas Adomavicius	Gediminas Adomavicius
23	46	Gediminas Adomavicius	Gediminas Adomavicius
23	51	Gediminas Adomavicius	Gediminas Adomavicius
23	51	Robert J. Kauffman	Robert J. Kauffman
24	33	Marie-Pierre Dubuisson-Jolly	Marie-Pierre Dubuisson-Jolly
25	26	Paulo B. Goes	Paulo B. Goes
25	30	Ravi Bapna	Ravi Bapna
25	30	Paulo B. Goes	Paulo B. Goes
25	34	Ravi Bapna	Ravi Bapna
25	34	Paulo B. Goes	Paulo B. Goes
25	38	Paulo B. Goes	Paulo B. Goes
25	42	Ravi Bapna	Ravi Bapna
25	42	Paulo B. Goes	Paulo B. Goes
25	45	Ravi Bapna	Ravi Bapna
25	45	Paulo B. Goes	Paulo Goes
26	30	Paulo B. Goes	Paulo B. Goes
26	34	Paulo B. Goes	Paulo B. Goes
26	38	Andrew N. K. Chen	Andrew N. K. Chen
26	38	Paulo B. Goes	Paulo B. Goes
26	38	James R. Marsden	James R. Marsden
26	42	Paulo B. Goes	Paulo B. Goes
26	45	Paulo B. Goes	Paulo Goes
26	52	James R. Marsden	James R. Marsden
28	47	Ruzena Bajcsy	Ruzena Bajcsy
28	54	Ruzena Bajcsy	Ruzena Bajcsy
30	34	Ravi Bapna	Ravi Bapna
30	34	Paulo B. Goes	Paulo B. Goes
30	38	Paulo B. Goes	Paulo B. Goes
30	42	Ravi Bapna	Ravi Bapna
30	42	Paulo B. Goes	Paulo B. Goes
30	45	Ravi Bapna	Ravi Bapna
30	45	Paulo B. Goes	Paulo Goes
31	40	Andrew B. Whinston	Andrew B. Whinston
31	44	Dale O. Stahl	Dale O. Stahl
31	44	Andrew B. Whinston	Andrew B. Whinston
31	48	Dale O. Stahl	Dale O. Stahl
31	48	Andrew B. Whinston	Andrew B. Whinston
31	49	Andrew B. Whinston	Andrew B. Whinston
31	50	Andrew B. Whinston	Andrew B. Whinston
31	53	Boris Jukic	Boris Jukic
31	53	Dale O. Stahl	Dale O. Stahl
31	53	Andrew B. Whinston	Andrew B. Whinston
32	39	Nelson F. Granados	Nelson F. Granados
32	39	Robert J. Kauffman	Robert J. Kauffman
32	51	Robert J. Kauffman	Robert J. Kauffman
34	38	Paulo B. Goes	Paulo B. Goes
34	42	Ravi Bapna	Ravi Bapna
34	42	Paulo B. Goes	Paulo B. Goes
34	45	Ravi Bapna	Ravi Bapna
34	45	Paulo B. Goes	Paulo Goes
35	56	Bir Bhanu	Bir Bhanu
38	42	Paulo B. Goes	Paulo B. Goes
38	45	Paulo B. Goes	Paulo Goes
38	52	James R. Marsden	James R. Marsden
39	51	Robert J. Kauffman	Robert J. Kauffman
40	44	Andrew B. Whinston	Andrew B. Whinston
40	48	Andrew B. Whinston	Andrew B. Whinston
40	49	Andrew B. Whinston	Andrew B. Whinston
40	50	Prabhudev Konana	Prabhudev Konana
40	50	Andrew B. Whinston	Andrew B. Whinston
40	53	Andrew B. Whinston	Andrew B. Whinston
41	43	Gediminas Adomavicius	Gediminas Adomavicius
41	46	Gediminas Adomavicius	Gediminas Adomavicius
41	51	Gediminas Adomavicius	Gediminas Adomavicius
42	45	Ravi Bapna	Ravi Bapna
42	45	Paulo B. Goes	Paulo Goes
43	46	Gediminas Adomavicius	Gediminas Adomavicius
43	51	Gediminas Adomavicius	Gediminas Adomavicius
44	48	Dale O. Stahl	Dale O. Stahl
44	48	Andrew B. Whinston	Andrew B. Whinston
44	49	Andrew B. Whinston	Andrew B. Whinston
44	50	Andrew B. Whinston	Andrew B. Whinston
44	53	Dale O. Stahl	Dale O. Stahl
44	53	Andrew B. Whinston	Andrew B. Whinston
46	51	Gediminas Adomavicius	Gediminas Adomavicius
47	54	Ruzena Bajcsy	Ruzena Bajcsy
48	49	Andrew B. Whinston	Andrew B. Whinston
48	50	Andrew B. Whinston	Andrew B. Whinston
48	53	Dale O. Stahl	Dale O. Stahl
48	53	Andrew B. Whinston	Andrew B. Whinston
49	50	Andrew B. Whinston	Andrew B. Whinston
49	53	Andrew B. Whinston	Andrew B. Whinston
50	53	Andrew B. Whinston	Andrew B. Whinston
