0	33	Hui Wu	Hui Wu
13	14	Sven van der Meer	Sven van der Meer
13	23	John Strassner	John Strassner
13	81	John Strassner	John Strassner
13	118	John Strassner	John Strassner
13	120	John Strassner	John Strassner
13	176	John Strassner	John Strassner
13	176	Sven van der Meer	Sven van der Meer
14	23	John Strassner	John Strassner
14	81	John Strassner	John Strassner
14	118	John Strassner	John Strassner
14	120	John Strassner	John Strassner
14	176	John Strassner	John Strassner
14	176	Sven van der Meer	Sven van der Meer
15	95	Ming Li	Ming Li
15	131	Ming Li	Ming Li
16	17	Haiyang Wang	Haiyang Wang
16	116	Haiyang Wang	Haiyang Wang
17	116	Haiyang Wang	Haiyang Wang
19	66	Fanhuai Shi	Fanhuai Shi
19	66	Yuncai Liu	Yuncai Liu
19	84	Fanhuai Shi	Fanhuai Shi
19	84	Yuncai Liu	Yuncai Liu
19	112	Fanhuai Shi	Fanhuai Shi
19	112	Jianhua Wang	Jianhua Wang
19	112	Yuncai Liu	Yuncai Liu
19	119	Fanhuai Shi	Fanhuai Shi
19	119	Jianhua Wang	Jianhua Wang
19	119	Yuncai Liu	Yuncai Liu
19	148	Fanhuai Shi	Fanhuai Shi
19	148	Jianhua Wang	Jianhua Wang
19	148	Yuncai Liu	Yuncai Liu
19	149	Fanhuai Shi	Fanhuai Shi
19	149	Jianhua Wang	Jianhua Wang
19	149	Yuncai Liu	Yuncai Liu
19	160	Fanhuai Shi	Fanhuai Shi
19	160	Yuncai Liu	Yuncai Liu
20	51	Jie Tang	Jie Tang
20	83	Jie Tang	Jie Tang
20	83	Juan-Zi Li	Juanzi Li
20	92	Jie Tang	Jie Tang
20	92	Juan-Zi Li	Juan-Zi Li
20	93	Jie Tang	Jie Tang
20	96	Jie Tang	Jie Tang
20	96	Juan-Zi Li	Juan-Zi Li
20	101	Jie Tang	Jie Tang
20	101	Juan-Zi Li	Juanzi Li
20	102	Jie Tang	Jie Tang
20	102	Juan-Zi Li	Juanzi Li
20	103	Jie Tang	Jie Tang
20	103	Juan-Zi Li	Juanzi Li
20	104	Jie Tang	Jie Tang
20	104	Juan-Zi Li	Juan-Zi Li
20	105	Jie Tang	Jie Tang
20	105	Juan-Zi Li	Juan-Zi Li
20	106	Jie Tang	Jie Tang
20	106	Juan-Zi Li	Juanzi Li
20	159	Jie Tang	Jie Tang
20	159	Juan-Zi Li	Juanzi Li
20	184	Jie Tang	Jie Tang
21	22	Luis F. Luna-Reyes	Luis F. Luna-Reyes
21	40	Rejean Roy	Rejean Roy
21	40	Luis F. Luna-Reyes	Luis F. Luna-Reyes
21	40	Josune Arcelus de Diego	Josune Arcelus de Diego
21	40	David F. Andersen	David F. Andersen
21	40	Andy Whitmore	Andy Whitmore
21	162	Luis F. Luna-Reyes	Luis F. Luna-Reyes
21	163	Rejean Roy	Rejean Roy
21	163	Luis F. Luna-Reyes	Luis F. Luna-Reyes
21	163	David F. Andersen	David F. Andersen
21	163	Andy Whitmore	Andy Whitmore
21	206	Luis F. Luna-Reyes	Luis F. Luna Reyes
22	40	Luis F. Luna-Reyes	Luis F. Luna-Reyes
22	162	Celene Navarrete	Celene Navarrete
22	162	Theresa A. Pardo	Theresa A. Pardo
22	162	Luis F. Luna-Reyes	Luis F. Luna-Reyes
22	162	Jose Ramon Gil-Garcia	Jose Ramon Gil-Garcia
22	163	Luis F. Luna-Reyes	Luis F. Luna-Reyes
22	206	Celene Navarrete	Celene Navarrete
22	206	Theresa A. Pardo	Theresa Pardo
22	206	Luis F. Luna-Reyes	Luis F. Luna Reyes
22	206	Jose Ramon Gil-Garcia	J. Ramon Gil-Garcia
23	69	Michael Jiang	Michael Jiang
23	81	Yan Liu	Yan Liu
23	81	John Strassner	John Strassner
23	107	Michael Jiang	Michael Jiang
23	118	Yan Liu	Yan Liu
23	118	John Strassner	John Strassner
23	120	Yan Liu	Yan Liu
23	120	Michael Jiang	Michael Jiang
23	120	David Raymer	David Raymer
23	120	John Strassner	John Strassner
23	176	Yan Liu	Yan Liu
23	176	Michael Jiang	Michael Jiang
23	176	John Strassner	John Strassner
24	28	Guojun Chen	Guojun Chen
24	44	Guojun Chen	Guojun Chen
25	215	Min Li	Min Li
28	44	Guojun Chen	Guojun Chen
29	187	Liang-rui Tang	Liangrui Tang
29	187	Bing Qi	Bing Qi
30	230	Lianhong Wang	Lianhong Wang
30	230	Gufeng Gong	Gufeng Gong
32	63	Seok-Wun Ha	Seok-Wun Ha
32	122	Seok-Wun Ha	Seok-Wun Ha
32	199	Seok-Wun Ha	Seok-Wun Ha
32	211	Choong-Woong Yoo	Choong-Woong Yoo
32	211	Seok-Wun Ha	Seok-Wun Ha
32	227	Seok-Wun Ha	Seok-Wun Ha
33	76	Jeffrey G. Gray	Jeffrey G. Gray
33	76	Yuehua Lin	Yuehua Lin
33	76	Aniruddha S. Gokhale	Aniruddha S. Gokhale
33	85	Yuehua Lin	Yuehua Lin
33	89	Jeffrey G. Gray	Jeffrey G. Gray
33	89	Suman Roychoudhury	Suman Roychoudhury
33	98	Jeffrey G. Gray	Jeffrey G. Gray
33	98	Yuehua Lin	Yuehua Lin
33	98	Aniruddha S. Gokhale	Aniruddha S. Gokhale
33	98	Sandeep Neema	Sandeep Neema
33	135	Yuehua Lin	Yuehua Lin
33	140	Yuehua Lin	Yuehua Lin
33	142	Yuehua Lin	Yuehua Lin
33	142	Aniruddha S. Gokhale	Aniruddha S. Gokhale
33	150	Yuehua Lin	Yuehua Lin
33	150	Aniruddha S. Gokhale	Aniruddha S. Gokhale
33	150	Sandeep Neema	Sandeep Neema
33	157	Yuehua Lin	Yuehua Lin
34	168	Liu Wenyin	Wenyin Liu
36	37	Sue R. Faerman	Sue R. Faerman
36	38	Sue R. Faerman	Sue R. Faerman
37	38	Sue R. Faerman	Sue R. Faerman
40	162	Luis F. Luna-Reyes	Luis F. Luna-Reyes
40	163	Luis F. Luna-Reyes	Luis F. Luna-Reyes
40	163	David F. Andersen	David F. Andersen
40	163	Andy Whitmore	Andy Whitmore
40	163	Rejean Roy	Rejean Roy
40	206	Luis F. Luna-Reyes	Luis F. Luna Reyes
43	124	Ningning Wu	Ningning Wu
43	137	Ningning Wu	Ningning Wu
45	46	Yurong (Grace) Huang	Yurong (Grace) Huang
45	46	Debasish Datta	Debasish Datta
45	46	Xue Qiu	Xue Qiu
45	46	Young-Chon Kim	Young-Chon Kim
45	46	Biswanath Mukherjee	Biswanath Mukherjee
45	49	Debasish Datta	Debasish Datta
45	49	Young-Chon Kim	Young-Chon Kim
45	49	Biswanath Mukherjee	Biswanath Mukherjee
45	144	Biswanath Mukherjee	Biswanath Mukherjee
45	145	Debasish Datta	Debasish Datta
45	145	Young-Chon Kim	Young-Chon Kim
45	145	Biswanath Mukherjee	Biswanath Mukherjee
45	146	Biswanath Mukherjee	Biswanath Mukherjee
45	147	Biswanath Mukherjee	Biswanath Mukherjee
45	152	Biswanath Mukherjee	Biswanath Mukherjee
45	153	Biswanath Mukherjee	Biswanath Mukherjee
46	49	Hae-Joung Lee	Hae-Joung Lee
46	49	Debasish Datta	Debasish Datta
46	49	Young-Chon Kim	Young-Chon Kim
46	49	Biswanath Mukherjee	Biswanath Mukherjee
46	144	Keyao Zhu	Keyao Zhu
46	144	Biswanath Mukherjee	Biswanath Mukherjee
46	145	Shuang Wang	Shuang Wang
46	145	Keyao Zhu	Keyao Zhu
46	145	Debasish Datta	Debasish Datta
46	145	Young-Chon Kim	Young-Chon Kim
46	145	Biswanath Mukherjee	Biswanath Mukherjee
46	146	Biswanath Mukherjee	Biswanath Mukherjee
46	147	Biswanath Mukherjee	Biswanath Mukherjee
46	152	Keyao Zhu	Keyao Zhu
46	152	Biswanath Mukherjee	Biswanath Mukherjee
46	153	Biswanath Mukherjee	Biswanath Mukherjee
49	144	Biswanath Mukherjee	Biswanath Mukherjee
49	145	Debasish Datta	Debasish Datta
49	145	Biswanath Mukherjee	Biswanath Mukherjee
49	145	Young-Chon Kim	Young-Chon Kim
49	146	Biswanath Mukherjee	Biswanath Mukherjee
49	147	Biswanath Mukherjee	Biswanath Mukherjee
49	152	Biswanath Mukherjee	Biswanath Mukherjee
49	153	Biswanath Mukherjee	Biswanath Mukherjee
51	83	Jie Tang	Jie Tang
51	92	Jie Tang	Jie Tang
51	93	Jie Tang	Jie Tang
51	96	Jie Tang	Jie Tang
51	101	Jie Tang	Jie Tang
51	102	Jie Tang	Jie Tang
51	103	Jie Tang	Jie Tang
51	104	Jie Tang	Jie Tang
51	105	Jie Tang	Jie Tang
51	106	Jie Tang	Jie Tang
51	159	Jie Tang	Jie Tang
51	184	Jie Tang	Jie Tang
53	134	Jun Hu	Jun Hu
55	86	Guizhong Liu	Guizhong Liu
56	57	Jie Yang	Jie Yang
56	65	Jie Yang	Jie Yang
56	99	Jie Yang	Jie Yang
56	151	Jie Yang	Jie Yang
57	65	Xilin Chen	Xilin Chen
57	65	Jie Yang	Jie Yang
57	65	Alex Waibel	Alex Waibel
57	88	Alex Waibel	Alex Waibel
57	99	Xilin Chen	Xilin Chen
57	99	Jie Yang	Jie Yang
57	99	Alex Waibel	Alex Waibel
57	151	Xilin Chen	Xilin Chen
57	151	Jie Yang	Jie Yang
57	151	Alex Waibel	Alex Waibel
61	79	Benyong Liu	Benyong Liu
61	185	Benyong Liu	Benyong Liu
62	128	Jing Peng	Jing Peng
62	128	Changjie Tang	Chang-jie Tang
62	208	Jing Peng	Jing Peng
62	208	Changjie Tang	Chang-jie Tang
63	122	Seok-Wun Ha	Seok-Wun Ha
63	199	Seok-Wun Ha	Seok-Wun Ha
63	211	Seok-Wun Ha	Seok-Wun Ha
63	227	Seok-Wun Ha	Seok-Wun Ha
65	88	Alex Waibel	Alex Waibel
65	99	Xilin Chen	Xilin Chen
65	99	Jie Yang	Jie Yang
65	99	Alex Waibel	Alex Waibel
65	151	Xilin Chen	Xilin Chen
65	151	Jie Yang	Jie Yang
65	151	Alex Waibel	Alex Waibel
66	84	Fanhuai Shi	Fanhuai Shi
66	84	Yuncai Liu	Yuncai Liu
66	112	Fanhuai Shi	Fanhuai Shi
66	112	Yuncai Liu	Yuncai Liu
66	119	Fanhuai Shi	Fanhuai Shi
66	119	Yuncai Liu	Yuncai Liu
66	148	Fanhuai Shi	Fanhuai Shi
66	148	Yuncai Liu	Yuncai Liu
66	149	Fanhuai Shi	Fanhuai Shi
66	149	Yuncai Liu	Yuncai Liu
66	160	Fanhuai Shi	Fanhuai Shi
66	160	Yuncai Liu	Yuncai Liu
67	165	Dmitry B. Goldgof	Dmitry B. Goldgof
67	165	Rangachar Kasturi	Rangachar Kasturi
67	175	Rangachar Kasturi	Rangachar Kasturi
69	107	Michael Jiang	Michael Jiang
69	107	Hong Zhao	Hong Zhao
69	107	Yuanyuan Zhou	Yuanyuan Zhou
69	120	Michael Jiang	Michael Jiang
69	176	Michael Jiang	Michael Jiang
70	169	Kwei-Jay Lin	Kwei-Jay Lin
70	173	Mark Panahi	Mark Panahi
70	173	Kwei-Jay Lin	Kwei-Jay Lin
70	173	Yue Zhang	Yue Zhang
70	173	Soo-Ho Chang	Soo-Ho Chang
70	177	Kwei-Jay Lin	Kwei-Jay Lin
70	178	Mark Panahi	Mark Panahi
70	178	Kwei-Jay Lin	Kwei-Jay Lin
72	78	Baikunth Nath	Baikunth Nath
75	87	Maozu Guo	Maozu Guo
76	85	Yuehua Lin	Yuehua Lin
76	89	Jeffrey G. Gray	Jeffrey G. Gray
76	98	Aniruddha S. Gokhale	Aniruddha S. Gokhale
76	98	Swapna S. Gokhale	Swapna S. Gokhale
76	98	Yuehua Lin	Yuehua Lin
76	98	Jeffrey G. Gray	Jeffrey G. Gray
76	135	Yuehua Lin	Yuehua Lin
76	140	Yuehua Lin	Yuehua Lin
76	142	Aniruddha S. Gokhale	Aniruddha S. Gokhale
76	142	Yuehua Lin	Yuehua Lin
76	150	Aniruddha S. Gokhale	Aniruddha S. Gokhale
76	150	Swapna S. Gokhale	Swapna S. Gokhale
76	150	Yuehua Lin	Yuehua Lin
76	157	Yuehua Lin	Yuehua Lin
79	185	Benyong Liu	Benyong Liu
81	118	Yan Liu	Yan Liu
81	118	John Strassner	John Strassner
81	120	Yan Liu	Yan Liu
81	120	John Strassner	John Strassner
81	176	Yan Liu	Yan Liu
81	176	John Strassner	John Strassner
82	202	Yanfang Du	Yanfang Du
82	202	Yuting Su	Yuting Su
83	92	Jie Tang	Jie Tang
83	92	Juanzi Li	Juan-Zi Li
83	93	Jie Tang	Jie Tang
83	96	Jie Tang	Jie Tang
83	96	Limin Yao	Limin Yao
83	96	Juanzi Li	Juan-Zi Li
83	101	Jie Tang	Jie Tang
83	101	Juanzi Li	Juanzi Li
83	102	Jie Tang	Jie Tang
83	102	Juanzi Li	Juanzi Li
83	103	Jie Tang	Jie Tang
83	103	Juanzi Li	Juanzi Li
83	104	Jie Tang	Jie Tang
83	104	Juanzi Li	Juan-Zi Li
83	105	Jie Tang	Jie Tang
83	105	Limin Yao	Limin Yao
83	105	Juanzi Li	Juan-Zi Li
83	106	Jie Tang	Jie Tang
83	106	Juanzi Li	Juanzi Li
83	114	Li Zhang	Li Zhang
83	159	Jie Tang	Jie Tang
83	159	Juanzi Li	Juanzi Li
83	184	Jie Tang	Jie Tang
83	184	Li Zhang	Li Zhang
83	184	Zhong Su	Zhong Su
84	112	Fanhuai Shi	Fanhuai Shi
84	112	Yuncai Liu	Yuncai Liu
84	119	Fanhuai Shi	Fanhuai Shi
84	119	Yuncai Liu	Yuncai Liu
84	148	Fanhuai Shi	Fanhuai Shi
84	148	Yuncai Liu	Yuncai Liu
84	149	Fanhuai Shi	Fanhuai Shi
84	149	Yuncai Liu	Yuncai Liu
84	160	Fanhuai Shi	Fanhuai Shi
84	160	Yuncai Liu	Yuncai Liu
85	98	Yuehua Lin	Yuehua Lin
85	135	Jeff Gray	Jeff Gray
85	135	Yuehua Lin	Yuehua Lin
85	140	Jeff Gray	Jeff Gray
85	140	Yuehua Lin	Yuehua Lin
85	142	Jeff Gray	Jeff Gray
85	142	Yuehua Lin	Yuehua Lin
85	150	Jeff Gray	Jeff Gray
85	150	Yuehua Lin	Yuehua Lin
85	157	Jeff Gray	Jeff Gray
85	157	Yuehua Lin	Yuehua Lin
88	99	Alex Waibel	Alex Waibel
88	151	Alex Waibel	Alex Waibel
89	98	Jeffrey G. Gray	Jeffrey G. Gray
92	93	Jie Tang	Jie Tang
92	96	Jie Tang	Jie Tang
92	96	Juan-Zi Li	Juan-Zi Li
92	101	Jie Tang	Jie Tang
92	101	Juan-Zi Li	Juanzi Li
92	102	Jie Tang	Jie Tang
92	102	Juan-Zi Li	Juanzi Li
92	103	Jie Tang	Jie Tang
92	103	Juan-Zi Li	Juanzi Li
92	104	Jie Tang	Jie Tang
92	104	Juan-Zi Li	Juan-Zi Li
92	105	Jie Tang	Jie Tang
92	105	Juan-Zi Li	Juan-Zi Li
92	106	Jie Tang	Jie Tang
92	106	Juan-Zi Li	Juanzi Li
92	159	Jie Tang	Jie Tang
92	159	Juan-Zi Li	Juanzi Li
92	184	Jie Tang	Jie Tang
93	96	Jie Tang	Jie Tang
93	101	Jie Tang	Jie Tang
93	102	Jie Tang	Jie Tang
93	103	Jie Tang	Jie Tang
93	104	Jie Tang	Jie Tang
93	105	Jie Tang	Jie Tang
93	106	Jie Tang	Jie Tang
93	159	Jie Tang	Jie Tang
93	184	Jie Tang	Jie Tang
95	131	Ming Li	Ming Li
96	101	Jie Tang	Jie Tang
96	101	Juan-Zi Li	Juanzi Li
96	102	Jie Tang	Jie Tang
96	102	Juan-Zi Li	Juanzi Li
96	103	Jie Tang	Jie Tang
96	103	Juan-Zi Li	Juanzi Li
96	104	Jie Tang	Jie Tang
96	104	Juan-Zi Li	Juan-Zi Li
96	105	Jie Tang	Jie Tang
96	105	Limin Yao	Limin Yao
96	105	Juan-Zi Li	Juan-Zi Li
96	106	Jie Tang	Jie Tang
96	106	Duo Zhang	Duo Zhang
96	106	Juan-Zi Li	Juanzi Li
96	159	Jie Tang	Jie Tang
96	159	Juan-Zi Li	Juanzi Li
96	184	Jie Tang	Jie Tang
98	135	Yuehua Lin	Yuehua Lin
98	140	Yuehua Lin	Yuehua Lin
98	142	Yuehua Lin	Yuehua Lin
98	142	Aniruddha S. Gokhale	Aniruddha S. Gokhale
98	150	Yuehua Lin	Yuehua Lin
98	150	Steven Nordstrom	Steven Nordstrom
98	150	Aniruddha S. Gokhale	Aniruddha S. Gokhale
98	150	Sandeep Neema	Sandeep Neema
98	150	Swapna S. Gokhale	Swapna S. Gokhale
98	157	Yuehua Lin	Yuehua Lin
99	151	Xilin Chen	Xilin Chen
99	151	Jie Yang	Jie Yang
99	151	Alex Waibel	Alex Waibel
101	102	Juanzi Li	Juanzi Li
101	102	Jie Tang	Jie Tang
101	103	Juanzi Li	Juanzi Li
101	103	Jie Tang	Jie Tang
101	104	Juanzi Li	Juan-Zi Li
101	104	Jie Tang	Jie Tang
101	105	Juanzi Li	Juan-Zi Li
101	105	Jie Tang	Jie Tang
101	106	Juanzi Li	Juanzi Li
101	106	Jie Tang	Jie Tang
101	159	Juanzi Li	Juanzi Li
101	159	Jie Tang	Jie Tang
101	184	Jie Tang	Jie Tang
102	103	Jie Tang	Jie Tang
102	103	Zi Yang	Zi Yang
102	103	Juanzi Li	Juanzi Li
102	104	Jie Tang	Jie Tang
102	104	Juanzi Li	Juan-Zi Li
102	105	Jie Tang	Jie Tang
102	105	Juanzi Li	Juan-Zi Li
102	106	Jie Tang	Jie Tang
102	106	Juanzi Li	Juanzi Li
102	159	Jie Tang	Jie Tang
102	159	Juanzi Li	Juanzi Li
102	184	Jie Tang	Jie Tang
102	184	Zi Yang	Zi Yang
103	104	Jie Tang	Jie Tang
103	104	Juanzi Li	Juan-Zi Li
103	105	Jie Tang	Jie Tang
103	105	Juanzi Li	Juan-Zi Li
103	106	Jie Tang	Jie Tang
103	106	Juanzi Li	Juanzi Li
103	159	Jie Tang	Jie Tang
103	159	Juanzi Li	Juanzi Li
103	184	Zi Yang	Zi Yang
103	184	Jie Tang	Jie Tang
104	105	Juan-Zi Li	Juan-Zi Li
104	105	Jie Tang	Jie Tang
104	106	Juan-Zi Li	Juanzi Li
104	106	Jie Tang	Jie Tang
104	159	Juan-Zi Li	Juanzi Li
104	159	Jie Tang	Jie Tang
104	159	Qiong Luo	Qiong Luo
104	159	Yunhao Liu	Yunhao Liu
104	159	MingCai Hong	MingCai Hong
104	184	Jie Tang	Jie Tang
105	106	Jie Tang	Jie Tang
105	106	Juan-Zi Li	Juanzi Li
105	159	Jie Tang	Jie Tang
105	159	Juan-Zi Li	Juanzi Li
105	184	Jie Tang	Jie Tang
106	159	Jie Tang	Jie Tang
106	159	Juanzi Li	Juanzi Li
106	184	Jie Tang	Jie Tang
107	120	Michael Jiang	Michael Jiang
107	176	Michael Jiang	Michael Jiang
109	111	Yafeng Wang	Yafeng Wang
109	111	Dacheng Yang	Dacheng Yang
110	198	Ping Zhang	Ping Zhang
112	119	Fanhuai Shi	Fanhuai Shi
112	119	Jianhua Wang	Jianhua Wang
112	119	Yuncai Liu	Yuncai Liu
112	148	Fanhuai Shi	Fanhuai Shi
112	148	Jianhua Wang	Jianhua Wang
112	148	Yuncai Liu	Yuncai Liu
112	149	Fanhuai Shi	Fanhuai Shi
112	149	Jianhua Wang	Jianhua Wang
112	149	Yuncai Liu	Yuncai Liu
112	160	Fanhuai Shi	Fanhuai Shi
112	160	Yuncai Liu	Yuncai Liu
114	184	Li Zhang	Li Zhang
117	155	Hong Lu	Hong Lu
117	155	Xiangyang Xue	Xiangyang Xue
117	171	Hong Lu	Hong Lu
117	171	Xiangyang Xue	Xiangyang Xue
118	120	Yan Liu	Yan Liu
118	120	John Strassner	John Strassner
118	176	Yan Liu	Yan Liu
118	176	John Strassner	John Strassner
119	148	Jianhua Wang	Jianhua Wang
119	148	Fanhuai Shi	Fanhuai Shi
119	148	Yuncai Liu	Yuncai Liu
119	149	Jianhua Wang	Jianhua Wang
119	149	Fanhuai Shi	Fanhuai Shi
119	149	Yuncai Liu	Yuncai Liu
119	160	Fanhuai Shi	Fanhuai Shi
119	160	Yuncai Liu	Yuncai Liu
120	176	Yan Liu	Yan Liu
120	176	Michael Jiang	Michael Jiang
120	176	John Strassner	John Strassner
122	199	Seok-Wun Ha	Seok-Wun Ha
122	211	Seok-Wun Ha	Seok-Wun Ha
122	227	Seok-Wun Ha	Seok-Wun Ha
123	156	Jackson Shin-Kiat Ong	Jackson Shin-Kiat Ong
123	156	Chee-Kong Chui	Chee-Kong Chui
123	156	Zhenlan Wang	Zhenlan Wang
123	156	Jeremy Choon-Meng Teo	Jeremy Choon-Meng Teo
123	156	Chye Hwang Yan	Chye Hwang Yan
123	156	Sim Heng Ong	Sim Heng Ong
123	156	Swee-Hin Teoh	Swee-Hin Teoh
124	137	Ningning Wu	Ningning Wu
125	126	Chunling Fan	Chunling Fan
125	126	Zhihua Jin	Zhihua Jin
125	126	Weifeng Tian	Weifeng Tian
128	208	Jing Peng	Jing Peng
128	208	Chang-jie Tang	Chang-jie Tang
128	208	Dongqing Yang	Dong-Qing Yang
129	130	Yanda Li	Yanda Li
129	132	Yanda Li	Yanda Li
129	201	Ying Huang	Ying Huang
129	225	Yanda Li	Yanda Li
130	131	Xuegong Zhang	Xuegong Zhang
130	132	Yanda Li	Yanda Li
130	133	Xuegong Zhang	Xuegong Zhang
130	225	Yanda Li	Yanda Li
131	133	Xuegong Zhang	Xuegong Zhang
132	225	Tao Ma	Tao Ma
132	225	Yanda Li	Yanda Li
132	225	Shao Li	Shao Li
135	140	Jeff Gray	Jeff Gray
135	140	Yuehua Lin	Yuehua Lin
135	142	Jeff Gray	Jeff Gray
135	142	Yuehua Lin	Yuehua Lin
135	150	Jeff Gray	Jeff Gray
135	150	Yuehua Lin	Yuehua Lin
135	157	Jeff Gray	Jeff Gray
135	157	Yuehua Lin	Yuehua Lin
140	142	Jeff Gray	Jeff Gray
140	142	Yuehua Lin	Yuehua Lin
140	150	Jeff Gray	Jeff Gray
140	150	Yuehua Lin	Yuehua Lin
140	157	Jeff Gray	Jeff Gray
140	157	Yuehua Lin	Yuehua Lin
142	150	Aniruddha S. Gokhale	Aniruddha S. Gokhale
142	150	Yuehua Lin	Yuehua Lin
142	150	Jeff Gray	Jeff Gray
142	157	Yuehua Lin	Yuehua Lin
142	157	Jeff Gray	Jeff Gray
143	204	Qian Geng	Qian Geng
143	204	Charles Townley	Charles Townley
143	204	Kun Huang	Kun Huang
144	145	Keyao Zhu	Keyao Zhu
144	145	Biswanath Mukherjee	Biswanath Mukherjee
144	146	Biswanath Mukherjee	Biswanath Mukherjee
144	147	Biswanath Mukherjee	Biswanath Mukherjee
144	152	Keyao Zhu	Keyao Zhu
144	152	Biswanath Mukherjee	Biswanath Mukherjee
144	153	Biswanath Mukherjee	Biswanath Mukherjee
145	146	Lei Song	Lei Song
145	146	Biswanath Mukherjee	Biswanath Mukherjee
145	147	Biswanath Mukherjee	Biswanath Mukherjee
145	152	Keyao Zhu	Keyao Zhu
145	152	Biswanath Mukherjee	Biswanath Mukherjee
145	153	Lei Song	Lei Song
145	153	Biswanath Mukherjee	Biswanath Mukherjee
146	147	Biswanath Mukherjee	Biswanath Mukherjee
146	152	Biswanath Mukherjee	Biswanath Mukherjee
146	153	Lei Song	Lei Song
146	153	Biswanath Mukherjee	Biswanath Mukherjee
147	152	Biswanath Mukherjee	Biswanath Mukherjee
147	153	Biswanath Mukherjee	Biswanath Mukherjee
148	149	Fanhuai Shi	Fanhuai Shi
148	149	Jianhua Wang	Jianhua Wang
148	149	Yuncai Liu	Yuncai Liu
148	160	Fanhuai Shi	Fanhuai Shi
148	160	Yuncai Liu	Yuncai Liu
149	160	Fanhuai Shi	Fanhuai Shi
149	160	Yuncai Liu	Yuncai Liu
150	157	Yuehua Lin	Yuehua Lin
150	157	Jeff Gray	Jeff Gray
152	153	Biswanath Mukherjee	Biswanath Mukherjee
155	171	Hong Lu	Hong Lu
155	171	Xiangyang Xue	Xiangyang Xue
159	184	Jie Tang	Jie Tang
