0	33	Sandip Sen	Sandip Sen
8	15	Sujeet Shenoi	Sujeet Shenoi
8	17	Sujeet Shenoi	Sujeet Shenoi
8	21	Sujeet Shenoi	Sujeet Shenoi
8	22	Sujeet Shenoi	Sujeet Shenoi
8	24	Sujeet Shenoi	Sujeet Shenoi
8	25	Sujeet Shenoi	Sujeet Shenoi
8	26	Sujeet Shenoi	Sujeet Shenoi
8	34	Sujeet Shenoi	Sujeet Shenoi
9	10	Sujeet Shenoi	Sujeet Shenoi
9	11	Sujeet Shenoi	Sujeet Shenoi
9	12	Sujeet Shenoi	Sujeet Shenoi
9	13	Mauricio Papa	Mauricio Papa
9	14	Mauricio Papa	Mauricio Papa
9	14	Sujeet Shenoi	Sujeet Shenoi
9	15	Sujeet Shenoi	Sujeet Shenoi
9	17	Mauricio Papa	Mauricio Papa
9	17	Sujeet Shenoi	Sujeet Shenoi
9	21	Mauricio Papa	Mauricio Papa
9	21	Sujeet Shenoi	Sujeet Shenoi
9	22	Sujeet Shenoi	Sujeet Shenoi
9	24	Sujeet Shenoi	Sujeet Shenoi
9	25	Mauricio Papa	Mauricio Papa
9	25	Sujeet Shenoi	Sujeet Shenoi
9	26	Sujeet Shenoi	Sujeet Shenoi
9	34	Sujeet Shenoi	Sujeet Shenoi
10	11	Jody Threet	Jody Threet
10	11	Sujeet Shenoi	Sujeet Shenoi
10	12	Sujeet Shenoi	Sujeet Shenoi
10	14	Sujeet Shenoi	Sujeet Shenoi
10	15	Sujeet Shenoi	Sujeet Shenoi
10	17	Sujeet Shenoi	Sujeet Shenoi
10	21	Sujeet Shenoi	Sujeet Shenoi
10	22	Sujeet Shenoi	Sujeet Shenoi
10	24	Sujeet Shenoi	Sujeet Shenoi
10	25	Sujeet Shenoi	Sujeet Shenoi
10	26	Jody Threet	Jody Threet
10	26	Sujeet Shenoi	Sujeet Shenoi
10	34	Jody Threet	Jody Threet
10	34	Sujeet Shenoi	Sujeet Shenoi
11	12	Sujeet Shenoi	Sujeet Shenoi
11	14	Sujeet Shenoi	Sujeet Shenoi
11	15	Sujeet Shenoi	Sujeet Shenoi
11	17	Sujeet Shenoi	Sujeet Shenoi
11	21	Sujeet Shenoi	Sujeet Shenoi
11	22	Sujeet Shenoi	Sujeet Shenoi
11	24	Sujeet Shenoi	Sujeet Shenoi
11	25	Sujeet Shenoi	Sujeet Shenoi
11	26	Jody Threet	Jody Threet
11	26	Sujeet Shenoi	Sujeet Shenoi
11	34	Jody Threet	Jody Threet
11	34	Sujeet Shenoi	Sujeet Shenoi
12	14	Sujeet Shenoi	Sujeet Shenoi
12	15	Sujeet Shenoi	Sujeet Shenoi
12	16	Gavin Manes	Gavin Manes
12	17	Sujeet Shenoi	Sujeet Shenoi
12	21	Sujeet Shenoi	Sujeet Shenoi
12	22	Sujeet Shenoi	Sujeet Shenoi
12	24	Sujeet Shenoi	Sujeet Shenoi
12	25	Sujeet Shenoi	Sujeet Shenoi
12	26	Sujeet Shenoi	Sujeet Shenoi
12	34	Sujeet Shenoi	Sujeet Shenoi
13	14	Stephen Magill	Stephen Magill
13	14	Mauricio Papa	Mauricio Papa
13	17	Mauricio Papa	Mauricio Papa
13	21	Mauricio Papa	Mauricio Papa
13	25	Mauricio Papa	Mauricio Papa
14	15	Sujeet Shenoi	Sujeet Shenoi
14	17	Mauricio Papa	Mauricio Papa
14	17	Oliver Bremer	Oliver Bremer
14	17	Sujeet Shenoi	Sujeet Shenoi
14	21	Mauricio Papa	Mauricio Papa
14	21	Oliver Bremer	Oliver Bremer
14	21	Sujeet Shenoi	Sujeet Shenoi
14	22	Sujeet Shenoi	Sujeet Shenoi
14	24	Sujeet Shenoi	Sujeet Shenoi
14	25	Mauricio Papa	Mauricio Papa
14	25	Sujeet Shenoi	Sujeet Shenoi
14	26	Sujeet Shenoi	Sujeet Shenoi
14	34	Sujeet Shenoi	Sujeet Shenoi
15	17	Sujeet Shenoi	Sujeet Shenoi
15	21	Sujeet Shenoi	Sujeet Shenoi
15	22	Sujeet Shenoi	Sujeet Shenoi
15	24	Sujeet Shenoi	Sujeet Shenoi
15	25	Sujeet Shenoi	Sujeet Shenoi
15	26	Sujeet Shenoi	Sujeet Shenoi
15	34	Sujeet Shenoi	Sujeet Shenoi
16	31	Alex Barclay	Alex Barclay
17	21	Mauricio Papa	Mauricio Papa
17	21	Oliver Bremer	Oliver Bremer
17	21	Sujeet Shenoi	Sujeet Shenoi
17	22	Sujeet Shenoi	Sujeet Shenoi
17	24	Sujeet Shenoi	Sujeet Shenoi
17	25	Mauricio Papa	Mauricio Papa
17	25	Sujeet Shenoi	Sujeet Shenoi
17	26	Sujeet Shenoi	Sujeet Shenoi
17	34	Sujeet Shenoi	Sujeet Shenoi
21	22	Sujeet Shenoi	Sujeet Shenoi
21	24	Sujeet Shenoi	Sujeet Shenoi
21	25	Mauricio Papa	Mauricio Papa
21	25	Sujeet Shenoi	Sujeet Shenoi
21	26	Sujeet Shenoi	Sujeet Shenoi
21	34	Sujeet Shenoi	Sujeet Shenoi
22	24	Sujeet Shenoi	Sujeet Shenoi
22	25	Sujeet Shenoi	Sujeet Shenoi
22	26	Sujeet Shenoi	Sujeet Shenoi
22	34	Sujeet Shenoi	Sujeet Shenoi
24	25	Sujeet Shenoi	Sujeet Shenoi
24	26	Sujeet Shenoi	Sujeet Shenoi
24	34	Sujeet Shenoi	Sujeet Shenoi
25	26	Sujeet Shenoi	Sujeet Shenoi
25	34	Sujeet Shenoi	Sujeet Shenoi
26	34	Jody Threet	Jody Threet
26	34	Sujeet Shenoi	Sujeet Shenoi
27	28	Paul Brusil	Paul Brusil
27	29	Paul Brusil	Paul Brusil
28	29	Paul Brusil	Paul Brusil
32	36	George Louthan	George Louthan
