0	20	Dennis Wilkinson	Dennis Wilkinson
28	29	John R. Gilbert	John R. Gilbert
28	35	Siddhartha Chatterjee	Siddhartha Chatterjee
28	35	John R. Gilbert	John R. Gilbert
28	47	Siddhartha Chatterjee	Siddhartha Chatterjee
28	47	John R. Gilbert	John R. Gilbert
28	48	Siddhartha Chatterjee	Siddhartha Chatterjee
28	48	John R. Gilbert	John R. Gilbert
28	53	John R. Gilbert	John R. Gilbert
28	56	John R. Gilbert	John R. Gilbert
28	57	Siddhartha Chatterjee	Siddhartha Chatterjee
28	57	John R. Gilbert	John R. Gilbert
29	35	John R. Gilbert	John R. Gilbert
29	47	John R. Gilbert	John R. Gilbert
29	48	John R. Gilbert	John R. Gilbert
29	53	John R. Gilbert	John R. Gilbert
29	56	John R. Gilbert	John R. Gilbert
29	57	John R. Gilbert	John R. Gilbert
32	34	Alain Darte	Alain Darte
33	37	Scott A. Mahlke	Scott A. Mahlke
34	37	B. Ramakrishna Rau	B. Ramakrishna Rau
35	47	Siddhartha Chatterjee	Siddhartha Chatterjee
35	47	John R. Gilbert	John R. Gilbert
35	47	Shang-Hua Teng	Shang-Hua Teng
35	48	Siddhartha Chatterjee	Siddhartha Chatterjee
35	48	John R. Gilbert	John R. Gilbert
35	48	Shang-Hua Teng	Shang-Hua Teng
35	53	John R. Gilbert	John R. Gilbert
35	56	John R. Gilbert	John R. Gilbert
35	57	Siddhartha Chatterjee	Siddhartha Chatterjee
35	57	John R. Gilbert	John R. Gilbert
35	57	Shang-Hua Teng	Shang-Hua Teng
47	48	Siddhartha Chatterjee	Siddhartha Chatterjee
47	48	John R. Gilbert	John R. Gilbert
47	48	Shang-Hua Teng	Shang-Hua Teng
47	53	John R. Gilbert	John R. Gilbert
47	56	John R. Gilbert	John R. Gilbert
47	57	Siddhartha Chatterjee	Siddhartha Chatterjee
47	57	John R. Gilbert	John R. Gilbert
47	57	Shang-Hua Teng	Shang-Hua Teng
48	53	John R. Gilbert	John R. Gilbert
48	56	John R. Gilbert	John R. Gilbert
48	57	Siddhartha Chatterjee	Siddhartha Chatterjee
48	57	John R. Gilbert	John R. Gilbert
48	57	Fred J. E. Long	Fred J. E. Long
48	57	Shang-Hua Teng	Shang-Hua Teng
53	56	John R. Gilbert	John R. Gilbert
53	57	John R. Gilbert	John R. Gilbert
56	57	John R. Gilbert	John R. Gilbert
